Event	Sample label (DSDP/ODP/IODP sample designation)	Sample comment	Top [mcd]	Age [ka BP] (Age, benthic δ18O stratigraphy)	UK37 (Calculated from UK37)	UK'37 (Calculated from UK'37)	SST [°C] (SST, from UK37)	SST [°C] (SST, from UK'37)	C37:4 [%]
162-983C	162-983C-19H-3,84-85	Working half	187.27	1433.78	0.390	0.390	12.4	10.5	0.0
162-983C	162-983C-19H-4,16-17	Working half	188.11	1436.72	0.370	0.385	11.5	10.3	1.1
162-983C	162-983C-19H-4,100-101	Working half	188.94	1440.09	0.488	0.488	16.5	13.5	0.0
162-983C	162-983C-19H-5,36-37	Working half	189.78	1443.08	0.386	0.386	12.2	10.4	0.0
162-983C	162-983C-19H-5,116-117	Working half	190.61	1446.33	0.400	0.400	12.8	10.8	0.0
162-983C	162-983C-19H-6,52-53	Working half	191.45	1449.24	0.322	0.352	9.5	9.3	2.2
162-983C	162-983C-19H-6,136-137	Working half	192.28	1453.45					
162-983C	162-983C-19H-7,68-69	Working half	193.12	1457.71	0.371	0.371	11.6	9.9	0.0
162-983B	162-983B-20H-1,88-89	Working half	193.95	1462.51	0.232	0.273	5.8	6.9	3.2
162-983B	162-983B-20H-1,104-105	Working half	194.79	1467.37	0.239	0.288	6.1	7.4	3.8
162-983B	162-983B-20H-2,40-41	Working half	195.63	1472.08	0.376	0.390	11.8	10.5	1.1
162-983B	162-983B-20H-2,120-121	Working half	196.46	1476.61	0.489	0.489	16.5	13.5	0.0
162-983B	162-983B-20H-3,56-57	Working half	197.30	1481.27	0.389	0.389	12.3	10.5	0.0
162-983B	162-983B-20H-3,140-141	Working half	198.13	1485.52	0.363	0.375	11.3	10.0	0.9
162-983B	162-983B-20H-4,72-73	Working half	198.97	1491.44	0.502	0.502	17.1	13.9	0.0
162-983B	162-983B-20H-5,4-5	Working half	199.80	1498.08	0.337	0.442	10.2	12.0	7.3
162-983B	162-983B-20H-5,88-89	Working half	200.64	1504.80	0.344	0.344	10.5	9.1	0.0
