Site	Hole	Core	Type	Section	Section_Depth	Sample_Depth	Age	d13C_C26FA 	d13C_C28FA 	d13C_C30FA 	d13C_C32FAC32	Mean_d13C_C26-C32FA 	Est_CO2_linear	Est_CO2_exponential 	
U1446	C	6	H	4	6	53.339	240.18	-27.18	-29.00	-28.15	-27.83	-28.04	259.59	258.83	
U1446	C	6	H	4	36	53.639	241.43	-25.50	-25.42	-25.09	-24.59	-25.15	229.87	227.26	
U1446	C	6	H	4	66	53.939	242.69	-24.35	-23.94	-23.53	-22.55	-23.59	213.87	211.89	
U1446	C	6	H	4	96	54.239	244.40	-23.95	-25.13	-22.87	-21.46	-23.35	211.39	209.59	
U1446	C	6	H	4	126	54.539	246.64	-23.94	-24.31	-23.91	-21.38	-23.38	211.73	209.90	
U1446	C	6	H	5	13	54.839	248.89	-23.59	-23.61	-21.11	-21.96	-22.57	203.35	202.35	
U1446	C	6	H	5	73	55.439	253.37	-24.49	-24.66	-22.11	-23.46	-23.68	214.78	212.73	
U1446	C	6	H	5	103	55.739	255.62	-24.54	-23.53	-23.36	-22.71	-23.54	213.29	211.35	
U1446	C	6	H	5	133	56.039	257.86	-25.07	-23.98	-23.24	-22.67	-23.74	215.37	213.28	
U1446	C	6	H	6	20	56.349	260.18	-23.75	-22.29	-22.09	-21.34	-22.37	201.28	200.52	
U1446	C	6	H	6	50	56.649	262.43	-23.66	-22.27	-22.51	-21.38	-22.45	202.15	201.29	
U1446	C	6	H	6	80	56.949	264.67	-22.91	-22.40	-22.15	-21.10	-22.14	198.96	198.49	
U1446	C	6	H	6	110	57.249	266.91	-24.05	-23.35	-22.48	-23.29	-23.29	210.76	209.02	
U1446	A	7	H	1	60	57.543	269.16	-23.12	-22.95	-23.29	-22.25	-22.90	206.77	205.40	
U1446	A	7	H	1	90	57.843	271.40	-23.21	-23.08	-23.48	-22.08	-22.96	207.40	205.97	
U1446	A	7	H	1	120	58.143	273.65	-24.03	-24.54	-23.92	-22.91	-23.85	216.51	214.35	
U1446	A	7	H	2	4	58.443	275.89	-24.12	-25.16	-24.81	-24.03	-24.53	223.51	221.02	
U1446	A	7	H	2	34	58.743	278.14	-23.99	-24.88	-24.77	-24.86	-24.63	224.50	221.98	
U1446	A	7	H	2	64	59.043	280.38	-24.13	-25.42	-24.68	-25.09	-24.83	226.60	224.03	
U1446	A	7	H	2	94	59.343	282.62	-23.86	-24.71	-24.01	-24.34	-24.23	220.42	218.05	
U1446	A	7	H	2	124	59.643	284.87	-23.15	-23.06	-22.10	-21.59	-22.48	202.39	201.50	
U1446	A	7	H	3	22	59.933	286.88	-22.68	-22.47	-21.92	-21.02	-22.02	197.75	197.45	
U1446	A	7	H	3	52	60.233	288.95	-22.72	-22.77	-22.11	-21.33	-22.23	199.89	199.30	
U1446	A	7	H	4	6	60.533	291.02	-23.17	-23.01	-22.63	-21.47	-22.57	203.35	202.35	
U1446	A	7	H	4	36	60.833	293.09	-23.33	-23.57	-23.86	-22.98	-23.43	212.25	210.39	
U1446	A	7	H	4	66	61.133	295.16	-23.84	-24.49	-24.27	-23.60	-24.05	218.58	216.29	
U1446	A	7	H	4	96	61.433	297.23	-23.83	-23.85	-24.45	-23.31	-23.86	216.65	214.47	
U1446	C	7	H	2	50	61.727	299.23	-24.94	-25.54	-26.41	-25.81	-25.68	235.30	232.73	
U1446	C	7	H	2	80	62.027	301.30	-25.68	-26.31	-26.88	-25.98	-26.21	240.79	238.38	
U1446	C	7	H	2	110	62.327	303.37	-24.79	-28.92	-25.84	-24.95	-26.12	239.89	237.45	
U1446	C	7	H	2	140	62.627	305.44	-25.54	-26.26	-25.67	-25.58	-25.76	236.14	233.58	
U1446	C	7	H	3	23	62.927	307.51	-25.90	-26.75	-26.76	-27.23	-26.66	245.41	243.25	
U1446	C	7	H	3	53	63.227	309.58	-25.42	-27.09	-27.32	-28.85	-27.17	250.68	248.93	
U1446	C	7	H	3	83	63.527	311.65	-25.96	-26.85	-27.29	-27.49	-26.90	247.85	245.87	
