Age	d18O
588.5	4.47
588.8	4.28
589.5	4.18
590.4	4.12
591.2	3.82
591.4	4.02
592.4	4.13
593.3	4.17
593.6	4.06
594.3	4.20
595.2	4.18
595.9	3.92
596.2	4.16
597.1	4.27
598.1	4.11
598.3	4.07
599.0	4.08
600.0	4.34
601.2	4.14
601.6	3.99
603.2	4.15
604.9	4.18
605.3	3.74
606.5	4.14
608.1	3.92
608.9	4.01
610.5	3.74
612.2	3.75
612.6	3.69
613.8	3.78
615.4	3.91
616.6	3.70
617.0	3.56
618.6	4.26
620.3	4.25
620.7	4.00
621.9	4.49
623.5	4.56
623.5	4.95
624.7	4.40
625.1	4.96
626.8	4.85
628.4	5.10
628.8	4.62
630.0	5.14
631.2	4.94
632.0	4.68
632.3	4.90
633.5	4.91
634.6	4.93
634.9	4.76
635.8	5.14
636.9	5.10
637.8	4.71
638.1	4.82
638.6	5.06
639.8	
640.6	4.61
640.9	5.01
642.1	4.94
643.2	4.99
643.5	4.73
644.4	4.65
645.5	4.92
646.4	4.70
646.7	4.84
647.8	4.92
649.0	4.79
649.3	4.49
650.1	4.72
651.3	4.81
651.9	4.77
652.4	4.95
653.6	4.90
654.7	4.77
655.0	4.40
655.9	4.76
657.0	4.82
657.9	4.43
658.2	4.78
659.3	4.81
660.5	4.54
660.8	4.41
661.6	4.67
662.8	4.50
663.6	4.54
663.9	4.75
665.1	4.54
666.2	4.67
666.5	4.47
667.4	4.58
668.5	4.54
669.4	4.28
669.7	4.51
670.8	4.22
672.0	4.53
672.3	4.49
673.1	4.89
674.3	4.58
675.2	4.15
675.4	4.49
676.6	4.38
677.7	4.50
678.0	4.36
678.9	4.30
680.0	4.43
680.6	4.15
681.8	4.20
682.9	4.33
683.8	4.06
684.1	4.08
685.2	4.14
686.4	4.24
686.7	3.84
687.5	4.15
688.7	4.05
689.5	3.84
689.8	4.19
691.0	4.25
692.1	4.11
692.4	3.74
693.3	3.88
694.4	3.98
695.3	3.58
695.6	3.61
696.7	3.70
697.9	3.71
698.2	3.50
699.0	3.65
700.2	3.66
701.0	3.49
701.3	3.83
702.5	3.65
703.6	3.98
704.2	3.71
704.8	3.86
705.9	3.97
706.8	4.25
707.1	3.86
708.2	4.08
709.4	4.23
709.7	3.96
710.5	4.40
711.7	4.46
712.5	4.57
712.8	4.63
714.0	4.77
715.1	4.85
715.4	4.82
716.3	4.82
717.4	4.80
718.0	4.90
718.6	4.81
719.2	5.01
719.8	4.98
720.5	4.89
721.4	4.71
721.7	4.86
722.9	5.02
724.2	4.91
724.5	4.62
725.4	4.88
726.6	4.59
727.5	4.35
727.8	4.29
729.1	4.35
730.3	4.23
730.6	4.27
731.5	4.46
732.8	4.37
733.7	4.07
734.0	4.16
735.2	4.38
736.5	4.31
736.8	4.05
737.7	4.28
738.9	4.42
739.8	4.17
740.2	4.49
741.4	4.38
742.6	4.54
742.9	4.58
743.8	4.69
745.1	4.79
746.0	4.72
746.3	4.67
747.3	4.92
748.3	4.95
748.5	4.71
749.3	4.67
750.3	5.03
751.0	4.68
751.3	4.84
752.3	4.79
756.8	4.60
757.8	4.52
758.5	4.73
758.8	4.53
759.8	4.62
760.8	4.40
761.0	4.52
761.8	4.51
762.8	4.07
763.5	4.29
763.8	4.12
764.8	4.35
765.8	4.43
766.0	4.18
766.8	4.21
767.8	4.07
768.5	4.02
768.8	4.03
769.8	4.26
770.8	4.20
771.0	4.04
771.8	4.05
772.8	3.87
773.5	3.91
773.8	3.96
774.8	4.01
775.8	3.72
776.0	3.64
776.8	4.06
777.8	3.80
778.5	3.67
778.8	3.76
779.8	3.61
780.8	3.53
781.0	3.55
781.8	3.68
782.8	3.93
783.5	3.50
783.8	3.57
784.8	3.55
785.8	3.69
786.0	3.71
786.8	3.87
787.8	3.95
788.5	4.19
788.8	4.44
789.8	4.43
790.8	4.46
791.0	4.69
791.8	4.65
792.8	4.81
793.5	4.74
793.8	4.89
794.3	4.96
795.3	4.97
796.0	4.81
796.2	5.05
797.1	4.89
798.0	4.67
798.3	4.68
798.9	4.92
799.8	4.89
800.5	4.64
801.6	4.66
802.5	4.70
802.8	4.67
803.4	4.69
804.3	4.73
805.0	4.60
805.2	4.63
806.1	4.53
807.0	4.59
807.3	4.68
807.9	4.44
808.8	4.69
809.5	4.54
809.7	4.59
810.6	4.49
811.5	4.58
811.8	4.39
812.4	4.42
813.3	4.44
814.0	4.62
814.2	4.41
815.1	4.35
816.0	4.33
816.3	4.06
816.9	4.25
817.8	4.36
818.5	4.29
818.7	4.28
819.6	4.42
820.5	4.29
820.8	4.24
821.4	4.23
822.3	4.03
823.0	4.18
823.2	4.17
824.1	4.10
825.0	4.07
825.3	4.05
825.9	4.12
826.8	4.00
827.5	3.88
827.7	4.08
828.2	4.07
829.1	4.19
829.8	4.05
830.0	4.30
830.9	4.24
831.8	4.40
832.0	4.22
833.1	4.30
834.6	4.09
835.7	3.92
836.0	4.07
837.5	3.97
839.0	3.89
839.3	4.06
840.4	4.10
841.9	4.01
843.4	3.66
844.8	4.13
846.3	3.89
846.7	3.64
847.8	3.73
849.2	3.93
850.7	3.62
852.2	3.75
853.6	3.73
854.0	3.42
855.1	3.91
856.5	3.97
856.9	3.97
858.0	4.14
858.7	3.72
859.5	3.99
860.6	3.61
860.9	3.98
861.3	3.50
862.4	3.93
863.9	4.00
864.2	3.95
865.3	3.85
866.1	4.11
866.8	4.10
867.9	4.08
868.3	4.10
869.7	4.58
870.8	4.71
871.6	4.71
872.7	5.03
873.4	4.91
874.1	4.76
875.2	4.95
875.6	5.04
877.1	5.00
878.5	4.90
878.9	4.90
880.0	5.01
880.5	5.11
881.5	5.00
881.7	4.94
882.4	4.99
882.9	4.76
883.4	4.78
884.1	4.87
884.4	4.80
885.4	4.75
886.3	4.80
886.6	4.79
887.3	4.75
887.8	4.92
888.3	4.92
889.0	4.96
889.3	4.69
890.2	4.80
891.2	4.76
891.5	4.86
892.2	4.74
892.7	4.88
893.2	4.78
893.9	4.70
894.1	4.77
895.1	4.65
896.1	4.77
896.3	4.83
897.1	4.70
897.6	4.63
898.8	4.72
899.0	4.94
900.0	4.62
901.0	4.80
901.2	3.98
902.0	4.70
902.4	4.56
902.9	4.80
903.7	4.37
903.9	4.33
904.9	4.60
905.9	4.37
906.1	4.25
906.8	4.38
907.3	4.37
907.8	4.69
908.5	4.22
908.8	4.32
909.8	4.48
910.7	4.40
911.0	4.19
911.7	4.58
912.2	4.40
912.7	4.21
913.4	4.27
913.7	4.52
914.6	4.72
915.6	4.68
915.9	4.34
916.6	4.63
917.1	4.59
918.3	4.40
919.0	4.71
919.5	4.68
920.0	4.75
920.8	4.61
921.1	4.61
922.2	4.69
923.3	4.45
923.6	4.55
924.4	4.82
925.0	4.28
925.5	4.72
926.3	4.52
926.6	4.48
927.7	4.51
930.5	4.09
931.8	4.23
933.2	4.16
934.6	3.91
936.0	4.12
937.3	4.00
938.7	4.03
940.4	4.08
941.5	3.94
942.0	3.98
942.3	3.98
944.8	3.99
947.5	3.65
950.3	3.62
952.2	3.54
952.7	3.41
953.0	3.55
954.1	3.47
955.2	3.44
955.5	3.61
957.7	3.79
958.2	3.34
958.8	3.70
959.9	4.07
961.0	4.38
961.0	3.86
961.3	4.22
962.1	4.39
963.2	4.62
964.0	4.33
964.3	4.77
965.4	4.64
966.5	4.65
966.8	4.38
967.6	4.69
968.7	4.49
969.2	4.43
969.8	4.51
970.9	4.44
972.0	4.30
972.3	4.34
975.0	3.74
977.8	3.91
980.5	3.83
983.0	4.26
986.0	4.22
988.2	4.08
990.5	4.12
992.5	4.00
994.5	3.97
995.2	3.97
996.1	3.98
996.7	3.94
997.0	3.98
997.8	3.80
998.7	4.07
999.2	3.81
999.6	4.10
1000.5	4.01
1001.4	4.08
1001.6	4.09
1002.3	4.27
1003.2	4.29
1003.9	4.46
1004.1	4.31
1005.0	4.30
1005.0	4.76
1005.7	4.42
1006.5	4.41
1006.7	4.40
1007.2	4.60
1008.0	4.31
1008.5	4.35
1008.7	4.46
1008.7	4.46
1009.4	4.47
1009.6	4.32
1010.2	4.42
1010.9	4.33
1011.5	4.20
1011.7	4.30
1011.7	4.28
1012.4	4.46
1013.1	4.32
1013.3	4.26
1013.9	4.24
1013.9	4.38
1014.6	3.91
1015.0	3.50
1015.3	4.01
1016.1	4.01
1016.8	4.23
1017.0	3.99
1017.6	4.35
1018.3	4.02
1018.9	3.92
1019.0	4.13
1019.0	3.90
1019.8	3.86
1020.5	4.05
1020.7	3.86
1021.3	3.95
1022.0	3.79
1022.8	3.66
1023.6	3.80
1025.2	4.00
1026.4	3.81
1026.8	3.83
1026.8	3.90
1028.4	4.07
1028.4	
1030.0	4.17
1030.0	3.82
1030.4	4.22
1031.6	4.02
1033.2	4.44
1034.8	4.43
1036.4	4.55
1038.0	4.54
1038.6	4.40
1039.1	4.21
1040.3	4.35
1041.4	4.46
1041.7	4.37
1042.5	4.44
1043.7	4.53
1043.9	4.28
1044.8	4.30
1045.9	4.46
1047.1	4.36
1047.3	4.20
1048.2	4.36
1049.3	4.41
1050.2	4.27
1050.5	4.30
1051.6	4.37
1052.4	4.19
1052.7	4.43
1053.8	4.22
1053.8	4.19
1055.0	4.17
1055.8	4.14
1056.1	4.19
1056.1	4.06
1057.2	4.27
1058.4	4.08
1058.4	
1058.4	4.18
1059.5	4.21
1060.6	4.48
1061.5	4.23
1061.8	4.18
1061.8	4.13
1062.9	3.92
1064.0	3.91
1064.3	3.60
1065.2	4.16
1066.3	4.02
1067.2	3.72
1067.4	4.02
1067.4	3.81
1068.0	3.60
1068.6	3.77
1068.6	3.67
1069.7	3.41
1069.7	3.56
1070.0	3.36
1070.8	3.58
1072.0	3.37
1072.5	3.37
1073.1	3.29
1074.2	3.34
1075.6	3.58
1076.5	3.34
1077.6	3.40
1078.5	3.45
1078.8	3.10
1078.8	3.28
1079.9	3.37
1081.0	3.30
1081.3	3.32
1082.2	3.43
1082.2	3.40
1083.3	3.57
1084.1	3.46
1084.4	3.69
1084.4	3.62
1085.5	3.75
1086.7	
1087.0	4.05
1087.8	3.93
1088.9	4.24
1089.8	3.88
1090.1	4.22
1091.2	4.39
1092.3	4.29
1092.6	4.16
1093.5	4.26
1094.6	4.35
1094.6	4.41
1094.9	3.82
1095.7	4.31
1095.7	4.04
1096.9	4.53
1098.0	4.63
1098.3	4.24
1099.0	4.49
1100.0	4.06
1100.8	4.12
1101.0	4.19
1102.0	4.37
1103.0	4.26
1103.3	4.02
1104.0	4.03
1104.0	4.01
1105.0	4.07
1105.8	3.89
1106.0	3.88
1107.0	3.94
1108.0	3.73
1108.6	3.91
1112.8	3.94
1114.6	4.24
1115.2	4.00
1117.6	4.33
1120.0	4.40
1120.6	4.40
1122.4	4.59
1122.4	4.27
1124.8	4.34
1126.0	4.59
1130.2	4.36
1131.2	4.65
1131.7	4.35
1132.3	4.37
1133.3	4.22
1134.1	4.40
1134.3	4.46
1135.4	4.69
1136.4	
1136.7	4.34
1137.5	4.19
1138.5	4.47
1139.3	4.25
1139.5	4.12
1140.6	4.32
1141.6	4.25
1142.7	4.40
1143.7	4.16
1144.8	
1145.8	4.11
1146.8	3.91
1147.9	3.87
1148.9	4.10
1150.0	3.85
1151.0	3.87
1152.1	3.79
1153.1	3.91
1154.1	4.11
1155.2	4.13
1156.2	3.90
1157.3	4.04
1158.3	4.09
1159.4	3.78
1160.4	3.81
1161.4	3.78
1162.5	3.92
1163.5	4.47
1164.6	4.05
1165.6	3.82
1165.6	3.80
1166.6	3.68
1167.7	3.65
1168.7	3.76
1169.8	3.57
1170.8	3.66
1171.9	4.11
1172.9	4.29
1173.2	4.08
1173.4	4.40
1173.9	4.11
1174.5	4.12
1175.0	3.76
1175.8	4.19
1176.0	3.73
1177.1	3.81
1177.9	3.56
1178.1	3.82
1180.5	3.69
1183.1	3.68
1184.4	3.68
1188.1	3.88
1190.0	4.18
1191.8	4.44
1193.7	4.40
1195.6	4.47
1197.5	4.51
1199.4	4.51
1201.3	4.52
1203.1	4.43
1205.0	4.44
1206.9	4.45
1208.8	4.21
1210.7	4.18
1212.6	4.24
1214.4	4.13
1216.3	4.15
1218.2	4.05
1220.1	3.91
1222.0	3.79
1223.9	3.54
1225.8	3.67
1227.6	3.63
1229.5	3.67
1231.4	3.70
1233.3	3.56
1235.2	3.49
1237.1	3.65
1238.9	3.54
1240.8	3.87
1242.7	3.88
1244.5	4.48
1246.1	4.81
1247.8	4.53
1249.4	4.58
1251.0	4.58
1252.7	4.72
1254.3	4.58
1255.9	4.53
1257.6	4.36
1259.2	4.17
1260.7	4.18
1262.1	4.34
1263.6	4.29
1265.0	4.30
1266.5	4.27
1267.9	4.21
1269.3	4.19
1270.8	4.16
1272.2	4.11
1273.7	4.01
1275.1	4.09
1276.6	3.95
1278.0	4.05
1279.5	3.84
1280.9	3.93
1282.4	3.82
1283.8	4.06
1285.2	4.05
1287.1	4.46
1289.1	4.44
1291.0	4.48
1293.0	4.58
1294.9	4.40
1296.9	4.45
1296.9	4.30
1298.8	4.34
1300.8	4.35
1302.7	4.26
1304.7	4.07
1307.1	3.97
1309.6	3.95
1312.0	3.86
1314.5	3.88
1317.0	3.73
1319.3	4.03
1321.2	4.03
1323.1	4.18
1325.0	4.33
1326.9	4.32
1328.8	4.38
1330.7	4.34
1332.6	4.30
1334.5	4.39
1336.4	4.37
1338.3	4.25
1340.2	4.25
1342.2	4.30
1344.1	4.12
1346.0	4.28
1347.9	3.89
1350.0	3.80
1352.1	
1354.2	3.60
1356.4	3.98
1358.5	3.48
1360.6	3.90
1364.9	3.84
1367.0	3.99
1369.1	4.11
1371.2	3.88
1373.4	3.93
1375.5	4.01
1377.6	3.75
1379.9	4.04
1382.1	4.16
1384.4	4.01
1386.6	4.15
1388.9	
1391.1	4.06
1393.4	3.84
1395.6	3.69
1397.9	3.66
1400.2	3.57
1402.4	3.68
1404.7	4.01
1406.7	4.25
1408.2	4.31
1409.6	4.39
1411.1	4.37
1412.6	4.41
1414.1	4.34
1415.6	4.24
1417.1	4.24
1418.6	4.18
1420.1	4.22
1421.5	4.19
1423.0	4.57
1424.5	4.16
1426.0	4.32
1428.1	4.39
1430.1	3.57
1432.1	3.78
1434.1	3.49
1436.2	3.54
1438.2	4.13
1440.2	3.41
1442.2	3.56
1444.2	3.78
1446.3	3.64
1448.3	3.54
1450.3	3.93
1452.2	4.11
1453.9	4.37
1455.5	4.45
1457.1	4.47
1458.7	4.57
1460.3	4.47
1461.9	4.37
1463.6	4.25
1465.2	4.19
1466.8	3.99
1468.4	4.06
1470.0	3.88
1471.6	3.92
1473.2	3.54
1474.9	3.66
1476.5	3.53
1478.1	3.55
1479.7	3.38
1481.3	3.53
1482.9	3.51
1484.6	3.52
1486.2	3.55
1487.8	3.93
1489.4	3.90
1491.0	4.27
1492.6	4.16
1494.3	4.52
1495.9	4.45
1497.5	4.40
1499.1	4.41
1500.7	4.18
1502.3	3.94
1504.0	4.05
1505.6	4.07
1507.2	4.33
1508.8	4.10
1510.4	4.12
1512.0	4.31
1513.7	3.92
1515.3	3.95
1516.9	4.18
1518.5	3.99
1520.1	4.15
1521.7	4.18
1523.3	4.30
1525.0	4.18
1526.6	4.20
1528.2	4.24
1529.8	4.29
1531.4	4.06
1533.0	3.94
1534.7	4.26
1536.3	3.97
1537.9	4.14
1539.5	4.11
1541.1	3.79
1542.7	4.14
1544.4	4.26
1546.0	4.36

