Event	DateTime	Latitude	Longitude	Sample label	Depthsed	Depthcomp	Depthcompr	Depthcorrcr	HybridAge	AgeLisiec	AgeAhn	AgeKonijn	d18O	d13C
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,110-111	82.510	86.330	86.330	86.330	732.90	735.68	735.68	732.90	1.18	-1.13
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,112-113	82.530	86.350	86.350	86.350	733.11	735.84	735.84	733.10	1.10	-1.17
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,114-115	82.550	86.370	86.370	86.370	733.32	736.01	736.01	733.31	0.99	-1.37
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,116-117	82.570	86.390	86.390	86.390	733.52	736.17	736.17	733.51	1.21	-1.23
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,118-119	82.590	86.410	86.410	86.410	733.73	736.33	736.33	733.72	1.11	-1.00
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,120-121	82.610	86.430	86.430	86.430	733.94	736.50	736.50	733.93	1.23	-1.11
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,122-123	82.630	86.450	86.450	86.450	734.15	736.66	736.66	734.13	1.08	-1.06
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,124-125	82.650	86.470	86.470	86.470	734.36	736.83	736.83	734.34	1.26	-1.29
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,126-127	82.670	86.490	86.490	86.490	734.57	736.99	736.99	734.55	1.27	-0.99
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,128-129	82.690	86.510	86.510	86.510	734.77	737.15	737.15	734.75	1.27	-1.01
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,130-131	82.710	86.530	86.530	86.530	734.98	737.32	737.32	734.96	1.15	-1.05
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,132-133	82.730	86.550	86.550	86.550	735.19	737.48	737.48	735.17	1.23	-0.93
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,134-135	82.750	86.570	86.570	86.570	735.40	737.64	737.64	735.37	1.25	-1.03
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,136-137	82.770	86.590	86.590	86.590	735.61	737.81	737.81	735.58	1.37	-0.78
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,138-139	82.790	86.610	86.610	86.610	735.81	737.97	737.97	735.78	1.35	-0.99
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,140-141	82.810	86.630	86.630	86.630	736.02	738.13	738.13	735.99	1.31	-0.82
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,142-143	82.830	86.650	86.650	86.650	736.23	738.30	738.30	736.20	1.42	-0.78
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,144-145	82.850	86.670	86.670	86.670	736.44	738.46	738.46	736.40	1.37	-0.75
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,146-147	82.870	86.690	86.690	86.690	736.65	738.62	738.62	736.61	1.34	-0.89
339-U1385D		37.5713	-10.1259	339-U1385D-10H-2,148-149	82.890	86.710	86.710	86.710	736.86	738.79	738.79	736.82	1.23	-1.01
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,0-1	82.910	86.730	86.730	86.730	737.06	738.95	738.95	737.02	1.00	-0.94
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,2-3	82.930	86.750	86.750	86.750	737.27	739.12	739.12	737.23	1.42	-0.85
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,4-5	82.950	86.770	86.770	86.770	737.48	739.28	739.28	737.44	0.95	-1.39
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,6-7	82.970	86.790	86.790	86.790	737.69	739.44	739.44	737.64	1.26	-1.01
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,8-9	82.990	86.810	86.810	86.810	737.90	739.61	739.61	737.85	1.29	-1.22
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,10-11	83.010	86.830	86.830	86.830	738.10	739.77	739.77	738.05	1.03	-1.39
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,12-13	83.030	86.850	86.850	86.850	738.31	739.93	739.93	738.26	1.26	-1.33
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,14-15	83.050	86.870	86.870	86.870	738.52	740.10	740.10	738.47	1.29	-1.08
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,16-17	83.070	86.890	86.890	86.890	738.73	740.26	740.26	738.67	1.20	-1.31
