Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
0.844	-0.90	-0.53	-1.27	-0.95	-0.58	-1.33	-1.51	-0.88	-2.14
0.845	-0.89	-0.53	-1.26	-0.95	-0.58	-1.32	-1.50	-0.87	-2.13
0.846	-0.90	-0.54	-1.26	-0.98	-0.61	-1.34	-1.51	-0.88	-2.13
0.847	-0.94	-0.57	-1.30	-1.04	-0.67	-1.40	-1.57	-0.95	-2.20
0.848	-0.97	-0.60	-1.33	-1.08	-0.72	-1.45	-1.63	-1.00	-2.25
0.849	-1.05	-0.66	-1.44	-1.19	-0.81	-1.56	-1.78	-1.11	-2.44
0.85	-1.11	-0.69	-1.52	-1.28	-0.87	-1.69	-1.87	-1.17	-2.57
0.851	-1.37	-0.93	-1.82	-1.44	-1.01	-1.87	-2.34	-1.60	-3.09
0.852	-1.28	-0.86	-1.71	-1.36	-0.96	-1.77	-2.19	-1.47	-2.90
0.853	-1.10	-0.69	-1.51	-1.23	-0.83	-1.62	-1.86	-1.17	-2.55
0.854	-0.94	-0.54	-1.34	-1.10	-0.70	-1.49	-1.58	-0.90	-2.25
0.855	-0.80	-0.39	-1.21	-0.97	-0.56	-1.37	-1.34	-0.64	-2.03
0.856	-0.77	-0.34	-1.20	-0.97	-0.54	-1.40	-1.28	-0.57	-2.00
0.857	-0.64	-0.18	-1.10	-0.91	-0.46	-1.36	-1.07	-0.31	-1.83
0.858	-0.62	-0.15	-1.09	-0.89	-0.44	-1.35	-1.04	-0.27	-1.81
0.859	-0.70	-0.25	-1.14	-0.95	-0.51	-1.39	-1.17	-0.43	-1.90
0.86	-0.73	-0.28	-1.17	-0.99	-0.56	-1.42	-1.21	-0.48	-1.95
0.861	-0.96	-0.50	-1.43	-1.16	-0.71	-1.61	-1.63	-0.86	-2.39
0.862	-1.29	-0.83	-1.75	-1.41	-0.97	-1.85	-2.19	-1.44	-2.95
0.863	-1.56	-1.09	-2.02	-1.59	-1.14	-2.03	-2.67	-1.91	-3.44
0.864	-1.83	-1.36	-2.30	-1.83	-1.37	-2.28	-3.18	-2.41	-3.95
0.865	-2.21	-1.72	-2.69	-2.10	-1.63	-2.57	-3.87	-3.07	-4.67
0.866	-2.39	-1.92	-2.86	-2.22	-1.76	-2.69	-4.22	-3.45	-5.00
0.867	-2.65	-2.17	-3.13	-2.39	-1.93	-2.86	-4.71	-3.93	-5.50
0.868	-2.66	-2.18	-3.13	-2.48	-2.03	-2.93	-4.73	-3.95	-5.51
0.869	-2.84	-2.40	-3.28	-2.57	-2.13	-3.01	-5.08	-4.35	-5.82
0.87	-2.89	-2.43	-3.35	-2.62	-2.17	-3.07	-5.18	-4.42	-5.94
0.871	-3.03	-2.59	-3.47	-2.74	-2.30	-3.18	-5.46	-4.72	-6.19
0.872	-3.16	-2.72	-3.59	-2.83	-2.39	-3.27	-5.71	-4.98	-6.44
0.873	-3.17	-2.73	-3.60	-2.84	-2.39	-3.28	-5.73	-5.00	-6.45
0.874	-3.22	-2.77	-3.67	-2.86	-2.40	-3.32	-5.83	-5.08	-6.57
0.875	-3.11	-2.69	-3.53	-2.75	-2.31	-3.19	-5.61	-4.90	-6.32
0.876	-3.09	-2.70	-3.47	-2.72	-2.32	-3.13	-5.57	-4.91	-6.23
0.877	-3.05	-2.69	-3.42	-2.68	-2.29	-3.07	-5.50	-4.87	-6.13
0.878	-2.97	-2.59	-3.34	-2.62	-2.23	-3.02	-5.33	-4.69	-5.98
0.879	-3.19	-2.75	-3.62	-2.84	-2.39	-3.29	-5.77	-5.05	-6.50
0.88	-3.25	-2.78	-3.71	-2.98	-2.52	-3.44	-5.89	-5.12	-6.65
0.881	-3.52	-3.05	-4.00	-3.15	-2.66	-3.64	-6.45	-5.67	-7.23
0.882	-3.42	-2.95	-3.89	-3.07	-2.59	-3.55	-6.24	-5.46	-7.02
0.883	-3.47	-3.01	-3.92	-3.07	-2.60	-3.55	-6.33	-5.58	-7.08
0.884	-3.51	-3.06	-3.95	-3.05	-2.58	-3.52	-6.41	-5.67	-7.16
0.885	-3.58	-3.15	-4.02	-3.09	-2.62	-3.56	-6.57	-5.84	-7.30
0.886	-3.56	-3.12	-4.00	-3.06	-2.59	-3.53	-6.52	-5.79	-7.26
0.887	-3.38	-2.93	-3.84	-3.00	-2.53	-3.46	-6.17	-5.41	-6.92
0.888	-3.48	-3.03	-3.92	-3.04	-2.59	-3.50	-6.35	-5.62	-7.08
0.889	-3.24	-2.83	-3.65	-2.84	-2.41	-3.27	-5.88	-5.19	-6.57
0.89	-3.15	-2.76	-3.54	-2.73	-2.31	-3.14	-5.69	-5.02	-6.35
0.891	-2.92	-2.53	-3.31	-2.55	-2.15	-2.96	-5.24	-4.58	-5.90
0.892	-2.88	-2.49	-3.26	-2.51	-2.10	-2.91	-5.15	-4.50	-5.81
0.893	-2.83	-2.45	-3.21	-2.48	-2.08	-2.89	-5.07	-4.41	-5.72
0.894	-2.77	-2.40	-3.15	-2.47	-2.07	-2.87	-4.96	-4.32	-5.60
0.895	-2.74	-2.37	-3.11	-2.47	-2.08	-2.87	-4.89	-4.26	-5.52
0.896	-2.75	-2.38	-3.12	-2.49	-2.10	-2.89	-4.92	-4.28	-5.55
0.897	-2.73	-2.37	-3.10	-2.49	-2.10	-2.88	-4.88	-4.25	-5.51
0.898	-2.69	-2.32	-3.06	-2.46	-2.07	-2.86	-4.80	-4.16	-5.43
0.899	-2.57	-2.20	-2.93	-2.38	-1.99	-2.76	-4.56	-3.92	-5.19
0.9	-2.55	-2.18	-2.91	-2.35	-1.97	-2.73	-4.51	-3.89	-5.14
0.901	-2.41	-2.05	-2.78	-2.28	-1.91	-2.66	-4.26	-3.63	-4.90
0.902	-2.36	-1.99	-2.74	-2.25	-1.87	-2.62	-4.17	-3.53	-4.81
0.903	-2.20	-1.82	-2.58	-2.12	-1.74	-2.50	-3.86	-3.21	-4.51
0.904	-2.13	-1.74	-2.51	-2.05	-1.67	-2.44	-3.72	-3.06	-4.37
0.905	-2.14	-1.76	-2.51	-2.08	-1.70	-2.46	-3.74	-3.09	-4.38
0.906	-2.12	-1.74	-2.50	-2.07	-1.70	-2.45	-3.70	-3.05	-4.35
0.907	-2.13	-1.75	-2.52	-2.10	-1.72	-2.48	-3.73	-3.08	-4.38
0.908	-2.08	-1.71	-2.46	-2.07	-1.69	-2.45	-3.64	-3.00	-4.28
0.909	-2.06	-1.69	-2.43	-2.06	-1.68	-2.44	-3.59	-2.95	-4.23
0.91	-2.01	-1.63	-2.40	-2.05	-1.66	-2.44	-3.51	-2.85	-4.17
0.911	-1.94	-1.57	-2.30	-1.96	-1.59	-2.33	-3.36	-2.74	-3.99
0.912	-2.06	-1.70	-2.42	-2.07	-1.70	-2.43	-3.59	-2.97	-4.21
0.913	-2.21	-1.83	-2.59	-2.14	-1.77	-2.52	-3.88	-3.23	-4.53
0.914	-2.22	-1.82	-2.61	-2.21	-1.82	-2.59	-3.89	-3.22	-4.56
0.915	-2.36	-1.96	-2.75	-2.31	-1.93	-2.69	-4.15	-3.48	-4.82
0.916	-2.56	-2.15	-2.97	-2.45	-2.07	-2.84	-4.55	-3.85	-5.24
0.917	-2.83	-2.40	-3.27	-2.66	-2.26	-3.07	-5.07	-4.35	-5.80
0.918	-2.92	-2.46	-3.38	-2.78	-2.35	-3.22	-5.24	-4.48	-6.00
0.919	-3.07	-2.60	-3.53	-2.86	-2.42	-3.29	-5.53	-4.77	-6.29
0.92	-3.14	-2.70	-3.57	-2.90	-2.47	-3.32	-5.67	-4.95	-6.39
0.921	-3.27	-2.86	-3.68	-2.98	-2.56	-3.40	-5.94	-5.25	-6.63
0.922	-3.35	-2.94	-3.76	-3.02	-2.59	-3.44	-6.10	-5.40	-6.79
0.923	-3.32	-2.92	-3.73	-3.00	-2.57	-3.43	-6.04	-5.36	-6.73
0.924	-3.27	-2.86	-3.68	-2.96	-2.52	-3.40	-5.94	-5.25	-6.63
0.925	-3.16	-2.73	-3.58	-2.92	-2.47	-3.36	-5.71	-5.00	-6.42
0.926	-3.08	-2.65	-3.52	-2.83	-2.38	-3.29	-5.56	-4.83	-6.29
0.927	-3.14	-2.71	-3.57	-2.86	-2.42	-3.30	-5.68	-4.96	-6.39
0.928	-3.10	-2.66	-3.53	-2.84	-2.40	-3.27	-5.59	-4.86	-6.31
0.929	-2.99	-2.56	-3.43	-2.76	-2.33	-3.20	-5.39	-4.66	-6.12
0.93	-2.83	-2.42	-3.25	-2.65	-2.23	-3.07	-5.07	-4.38	-5.77
0.931	-2.78	-2.39	-3.17	-2.56	-2.16	-2.97	-4.96	-4.30	-5.62
0.932	-2.63	-2.26	-3.00	-2.43	-2.04	-2.82	-4.68	-4.05	-5.32
0.933	-2.36	-1.98	-2.73	-2.21	-1.83	-2.59	-4.15	-3.51	-4.79
0.934	-2.15	-1.80	-2.49	-2.05	-1.68	-2.42	-3.76	-3.15	-4.36
0.935	-2.09	-1.76	-2.42	-1.98	-1.63	-2.33	-3.65	-3.07	-4.24
0.936	-2.03	-1.72	-2.35	-1.93	-1.59	-2.28	-3.55	-2.98	-4.12
0.937	-1.96	-1.64	-2.29	-1.88	-1.53	-2.23	-3.41	-2.84	-3.99
0.938	-1.83	-1.49	-2.18	-1.79	-1.43	-2.15	-3.17	-2.57	-3.77
0.939	-1.70	-1.33	-2.07	-1.75	-1.39	-2.10	-2.94	-2.30	-3.58
0.94	-1.78	-1.40	-2.16	-1.82	-1.46	-2.18	-3.08	-2.44	-3.73
0.941	-1.71	-1.35	-2.08	-1.74	-1.38	-2.09	-2.96	-2.33	-3.59
0.942	-1.56	-1.19	-1.93	-1.62	-1.26	-1.98	-2.68	-2.04	-3.32
0.943	-1.38	-1.00	-1.76	-1.44	-1.08	-1.81	-2.36	-1.71	-3.01
0.944	-1.31	-0.91	-1.71	-1.43	-1.05	-1.81	-2.23	-1.55	-2.91
0.945	-1.18	-0.75	-1.60	-1.30	-0.91	-1.70	-2.00	-1.28	-2.71
0.946	-1.09	-0.63	-1.55	-1.23	-0.81	-1.65	-1.85	-1.09	-2.60
0.947	-0.95	-0.47	-1.42	-1.11	-0.67	-1.54	-1.59	-0.81	-2.37
0.948	-0.89	-0.43	-1.36	-1.06	-0.63	-1.50	-1.50	-0.73	-2.27
0.949	-0.78	-0.31	-1.25	-0.98	-0.53	-1.42	-1.31	-0.54	-2.09
0.95	-0.62	-0.13	-1.10	-0.83	-0.38	-1.29	-1.03	-0.23	-1.83
0.951	-0.58	-0.08	-1.09	-0.81	-0.34	-1.28	-0.97	-0.15	-1.79
0.952	-0.59	-0.08	-1.11	-0.82	-0.34	-1.29	-0.99	-0.15	-1.83
0.953	-0.57	-0.06	-1.08	-0.81	-0.34	-1.29	-0.95	-0.12	-1.79
0.954	-0.62	-0.10	-1.13	-0.86	-0.38	-1.33	-1.03	-0.18	-1.87
0.955	-0.63	-0.11	-1.15	-0.88	-0.40	-1.35	-1.05	-0.21	-1.90
0.956	-0.67	-0.15	-1.19	-0.91	-0.44	-1.39	-1.11	-0.27	-1.96
0.957	-0.83	-0.33	-1.32	-1.06	-0.61	-1.52	-1.38	-0.57	-2.20
0.958	-0.96	-0.48	-1.43	-1.17	-0.73	-1.61	-1.61	-0.84	-2.39
0.959	-0.91	-0.43	-1.39	-1.18	-0.72	-1.64	-1.53	-0.74	-2.32
0.96	-0.93	-0.43	-1.43	-1.17	-0.72	-1.63	-1.56	-0.75	-2.38
0.961	-1.09	-0.63	-1.55	-1.28	-0.85	-1.70	-1.85	-1.08	-2.61
0.962	-1.17	-0.72	-1.63	-1.34	-0.92	-1.77	-1.99	-1.23	-2.75
0.963	-1.32	-0.86	-1.78	-1.45	-1.03	-1.87	-2.25	-1.50	-3.01
0.964	-1.50	-1.03	-1.97	-1.60	-1.17	-2.03	-2.57	-1.80	-3.35
0.965	-1.56	-1.09	-2.03	-1.66	-1.22	-2.10	-2.67	-1.90	-3.45
0.966	-1.55	-1.08	-2.02	-1.65	-1.22	-2.09	-2.66	-1.88	-3.44
0.967	-1.54	-1.08	-2.00	-1.64	-1.21	-2.07	-2.64	-1.88	-3.40
0.968	-1.69	-1.27	-2.10	-1.71	-1.30	-2.11	-2.91	-2.21	-3.60
0.969	-1.73	-1.32	-2.14	-1.69	-1.29	-2.10	-2.99	-2.30	-3.67
0.97	-1.61	-1.21	-2.01	-1.58	-1.19	-1.98	-2.77	-2.08	-3.45
0.971	-1.54	-1.11	-1.97	-1.57	-1.17	-1.98	-2.64	-1.92	-3.36
0.972	-1.41	-0.95	-1.87	-1.48	-1.06	-1.90	-2.41	-1.64	-3.17
0.973	-1.49	-1.03	-1.95	-1.55	-1.14	-1.97	-2.56	-1.80	-3.31
0.974	-1.50	-1.04	-1.96	-1.57	-1.14	-1.99	-2.57	-1.81	-3.33
0.975	-1.47	-1.01	-1.92	-1.55	-1.12	-1.97	-2.51	-1.76	-3.26
0.976	-1.47	-1.00	-1.94	-1.56	-1.12	-1.99	-2.52	-1.75	-3.29
0.977	-1.39	-0.91	-1.87	-1.51	-1.07	-1.94	-2.37	-1.59	-3.16
0.978	-1.37	-0.88	-1.86	-1.49	-1.05	-1.93	-2.34	-1.54	-3.14
0.979	-1.37	-0.89	-1.85	-1.50	-1.06	-1.94	-2.34	-1.55	-3.13
0.98	-1.47	-1.00	-1.95	-1.60	-1.16	-2.05	-2.52	-1.75	-3.30
0.981	-1.53	-1.03	-2.04	-1.61	-1.15	-2.07	-2.63	-1.81	-3.45
0.982	-1.64	-1.14	-2.15	-1.70	-1.23	-2.16	-2.83	-2.00	-3.65
0.983	-1.87	-1.27	-2.46	-1.88	-1.36	-2.40	-3.24	-2.29	-4.19
0.984	-1.85	-1.23	-2.47	-1.87	-1.33	-2.41	-3.21	-2.22	-4.19
0.985	-1.85	-1.24	-2.45	-1.86	-1.32	-2.41	-3.20	-2.24	-4.17
0.986	-1.86	-1.30	-2.42	-1.85	-1.34	-2.35	-3.22	-2.32	-4.12
0.987	-1.83	-1.31	-2.35	-1.80	-1.33	-2.27	-3.17	-2.32	-4.02
0.988	-1.69	-1.19	-2.20	-1.69	-1.23	-2.14	-2.92	-2.10	-3.74
0.989	-1.63	-1.14	-2.11	-1.63	-1.19	-2.08	-2.80	-2.00	-3.59
0.99	-1.68	-1.18	-2.17	-1.68	-1.23	-2.13	-2.89	-2.08	-3.70
0.991	-1.71	-1.19	-2.23	-1.70	-1.23	-2.17	-2.95	-2.10	-3.80
0.992	-1.59	-1.12	-2.07	-1.59	-1.14	-2.04	-2.74	-1.96	-3.52
0.993	-1.53	-1.06	-2.00	-1.57	-1.12	-2.01	-2.62	-1.85	-3.39
0.994	-1.33	-0.85	-1.80	-1.33	-0.89	-1.77	-2.26	-1.48	-3.04
0.995	-1.25	-0.75	-1.75	-1.29	-0.85	-1.74	-2.12	-1.31	-2.94
0.996	-1.12	-0.63	-1.61	-1.19	-0.75	-1.63	-1.89	-1.09	-2.69
0.997	-1.08	-0.59	-1.58	-1.08	-0.65	-1.52	-1.84	-1.02	-2.65
0.998	-1.03	-0.55	-1.50	-1.03	-0.61	-1.45	-1.73	-0.95	-2.52
0.999	-0.98	-0.53	-1.44	-0.99	-0.59	-1.40	-1.66	-0.90	-2.42
1	-1.00	-0.54	-1.46	-1.02	-0.61	-1.42	-1.69	-0.94	-2.45
1.001	-0.97	-0.51	-1.44	-0.97	-0.57	-1.37	-1.64	-0.88	-2.41
1.002	-0.95	-0.50	-1.40	-0.95	-0.57	-1.33	-1.61	-0.86	-2.35
1.003	-1.17	-0.63	-1.71	-1.15	-0.70	-1.60	-1.98	-1.11	-2.85
1.004	-1.26	-0.74	-1.78	-1.17	-0.75	-1.60	-2.15	-1.31	-2.99
1.005	-1.26	-0.74	-1.77	-1.17	-0.74	-1.59	-2.14	-1.30	-2.98
1.006	-1.23	-0.71	-1.75	-1.14	-0.72	-1.57	-2.09	-1.25	-2.93
1.007	-1.24	-0.74	-1.74	-1.14	-0.73	-1.56	-2.11	-1.29	-2.93
1.008	-1.32	-0.84	-1.81	-1.20	-0.78	-1.61	-2.25	-1.46	-3.05
1.009	-1.37	-0.88	-1.85	-1.23	-0.82	-1.65	-2.34	-1.54	-3.13
1.01	-1.42	-0.94	-1.91	-1.28	-0.86	-1.70	-2.43	-1.64	-3.23
1.011	-1.40	-0.91	-1.88	-1.26	-0.83	-1.69	-2.38	-1.59	-3.18
1.012	-1.42	-0.95	-1.90	-1.28	-0.86	-1.70	-2.43	-1.65	-3.22
1.013	-1.34	-0.84	-1.83	-1.22	-0.78	-1.65	-2.28	-1.47	-3.08
1.014	-1.33	-0.85	-1.82	-1.21	-0.79	-1.64	-2.27	-1.48	-3.07
1.015	-1.21	-0.73	-1.69	-1.12	-0.70	-1.55	-2.06	-1.27	-2.85
1.016	-1.17	-0.69	-1.64	-1.09	-0.66	-1.51	-1.98	-1.20	-2.76
1.017	-1.05	-0.57	-1.52	-0.99	-0.57	-1.41	-1.77	-0.99	-2.55
1.018	-1.00	-0.54	-1.45	-0.95	-0.53	-1.36	-1.68	-0.93	-2.44
1.019	-0.87	-0.40	-1.33	-0.89	-0.48	-1.29	-1.46	-0.69	-2.22
1.02	-0.84	-0.36	-1.32	-0.87	-0.45	-1.28	-1.41	-0.63	-2.20
1.021	-0.72	-0.26	-1.19	-0.78	-0.37	-1.18	-1.21	-0.44	-1.97
1.022	-0.59	-0.14	-1.05	-0.72	-0.31	-1.13	-0.99	-0.23	-1.74
1.023	-0.63	-0.12	-1.14	-0.80	-0.38	-1.23	-1.05	-0.23	-1.88
1.024	-0.61	-0.09	-1.14	-0.76	-0.33	-1.18	-1.03	-0.18	-1.87
1.025	-0.54	-0.03	-1.05	-0.70	-0.29	-1.12	-0.90	-0.07	-1.73
1.026	-0.47	0.02	-0.96	-0.66	-0.25	-1.06	-0.78	0.03	-1.59
1.027	-0.39	0.09	-0.86	-0.61	-0.21	-1.00	-0.64	0.14	-1.42
1.028	-0.38	0.09	-0.85	-0.59	-0.20	-0.97	-0.63	0.14	-1.41
1.029	-0.38	0.08	-0.84	-0.59	-0.21	-0.97	-0.63	0.13	-1.39
1.03	-0.47	-0.02	-0.92	-0.65	-0.27	-1.03	-0.78	-0.03	-1.52
1.031	-0.56	-0.12	-1.00	-0.72	-0.34	-1.09	-0.94	-0.21	-1.67
1.032	-0.67	-0.24	-1.10	-0.79	-0.42	-1.16	-1.12	-0.40	-1.84
1.033	-0.80	-0.38	-1.22	-0.88	-0.51	-1.25	-1.34	-0.63	-2.04
1.034	-0.90	-0.48	-1.31	-0.96	-0.59	-1.33	-1.51	-0.81	-2.21
1.035	-1.01	-0.59	-1.43	-1.05	-0.68	-1.43	-1.70	-1.00	-2.40
1.036	-1.17	-0.75	-1.59	-1.19	-0.81	-1.56	-1.98	-1.28	-2.69
1.037	-1.25	-0.82	-1.67	-1.26	-0.88	-1.65	-2.12	-1.41	-2.83
1.038	-1.41	-0.97	-1.84	-1.38	-0.99	-1.77	-2.40	-1.68	-3.12
1.039	-1.48	-1.04	-1.91	-1.44	-1.05	-1.83	-2.53	-1.81	-3.25
1.04	-1.39	-0.95	-1.83	-1.38	-0.98	-1.77	-2.38	-1.65	-3.11
1.041	-1.50	-1.05	-1.95	-1.46	-1.06	-1.87	-2.57	-1.82	-3.32
1.042	-1.42	-0.98	-1.85	-1.37	-0.97	-1.77	-2.42	-1.70	-3.14
1.043	-1.35	-0.91	-1.79	-1.31	-0.90	-1.72	-2.30	-1.56	-3.04
1.044	-1.27	-0.81	-1.73	-1.24	-0.82	-1.66	-2.16	-1.40	-2.92
1.045	-1.25	-0.77	-1.73	-1.24	-0.82	-1.67	-2.13	-1.34	-2.92
1.046	-1.33	-0.84	-1.82	-1.27	-0.84	-1.71	-2.27	-1.47	-3.07
1.047	-1.41	-0.92	-1.90	-1.30	-0.86	-1.74	-2.41	-1.60	-3.21
1.048	-1.50	-1.02	-1.98	-1.30	-0.86	-1.75	-2.58	-1.79	-3.36
1.049	-1.54	-1.08	-2.00	-1.31	-0.86	-1.76	-2.65	-1.88	-3.41
1.05	-1.53	-1.08	-1.99	-1.30	-0.86	-1.74	-2.63	-1.88	-3.38
1.051	-1.54	-1.07	-2.01	-1.33	-0.88	-1.77	-2.65	-1.87	-3.42
1.052	-1.61	-1.11	-2.11	-1.37	-0.92	-1.83	-2.78	-1.96	-3.59
1.053	-1.54	-1.03	-2.04	-1.34	-0.87	-1.80	-2.64	-1.81	-3.47
1.054	-1.52	-0.99	-2.04	-1.32	-0.85	-1.80	-2.60	-1.75	-3.46
1.055	-1.35	-0.85	-1.84	-1.26	-0.82	-1.71	-2.30	-1.49	-3.11
1.056	-1.43	-0.97	-1.89	-1.19	-0.76	-1.61	-2.45	-1.69	-3.21
1.057	-1.28	-0.82	-1.74	-1.07	-0.64	-1.49	-2.18	-1.42	-2.95
1.058	-1.21	-0.72	-1.70	-1.00	-0.56	-1.44	-2.05	-1.25	-2.86
1.059	-1.21	-0.74	-1.68	-1.00	-0.58	-1.43	-2.05	-1.28	-2.83
1.06	-1.17	-0.69	-1.64	-0.99	-0.56	-1.42	-1.98	-1.20	-2.76
1.061	-1.01	-0.53	-1.49	-0.89	-0.46	-1.32	-1.70	-0.92	-2.49
1.062	-0.80	-0.34	-1.26	-0.75	-0.33	-1.16	-1.34	-0.58	-2.11
1.063	-0.65	-0.20	-1.09	-0.65	-0.25	-1.05	-1.08	-0.34	-1.82
1.064	-0.45	0.00	-0.90	-0.51	-0.11	-0.90	-0.75	0.00	-1.50
1.065	-0.25	0.21	-0.70	-0.37	0.02	-0.77	-0.41	0.34	-1.16
1.066	-0.03	0.41	-0.47	-0.23	0.15	-0.61	-0.05	0.68	-0.78
1.067	0.11	0.54	-0.31	-0.14	0.23	-0.51	0.17	0.88	-0.54
1.068	0.23	0.65	-0.19	-0.05	0.31	-0.42	0.36	1.06	-0.34
1.069	0.33	0.74	-0.08	0.01	0.37	-0.35	0.52	1.21	-0.18
1.07	0.36	0.78	-0.06	0.04	0.40	-0.33	0.57	1.27	-0.13
1.071	0.34	0.76	-0.09	0.03	0.40	-0.34	0.53	1.24	-0.18
1.072	0.34	0.77	-0.09	0.02	0.39	-0.35	0.54	1.26	-0.19
1.073	0.36	0.79	-0.07	0.04	0.41	-0.34	0.57	1.29	-0.15
1.074	0.33	0.77	-0.10	0.02	0.39	-0.36	0.52	1.25	-0.21
1.075	0.37	0.79	-0.04	0.02	0.38	-0.34	0.59	1.29	-0.11
1.076	0.39	0.78	-0.01	0.00	0.35	-0.35	0.61	1.28	-0.06
1.077	0.31	0.69	-0.07	-0.02	0.32	-0.36	0.49	1.14	-0.16
1.078	0.35	0.72	-0.02	0.00	0.33	-0.33	0.56	1.19	-0.08
1.079	0.42	0.77	0.07	0.05	0.37	-0.27	0.66	1.27	0.05
1.08	0.48	0.83	0.14	0.09	0.41	-0.23	0.76	1.36	0.16
1.081	0.52	0.87	0.18	0.12	0.44	-0.20	0.82	1.42	0.22
1.082	0.50	0.85	0.15	0.11	0.43	-0.22	0.79	1.40	0.18
1.083	0.42	0.78	0.05	0.05	0.38	-0.28	0.66	1.29	0.03
1.084	0.32	0.72	-0.08	-0.01	0.33	-0.36	0.51	1.18	-0.17
1.085	0.29	0.67	-0.10	-0.03	0.31	-0.38	0.45	1.11	-0.21
1.086	0.02	0.39	-0.36	-0.10	0.24	-0.43	0.02	0.65	-0.62
1.087	-0.11	0.25	-0.47	-0.17	0.16	-0.51	-0.19	0.44	-0.81
1.088	-0.34	-0.01	-0.67	-0.22	0.11	-0.55	-0.57	0.02	-1.15
1.089	-0.40	-0.05	-0.74	-0.28	0.06	-0.61	-0.66	-0.06	-1.26
1.09	-0.53	-0.17	-0.89	-0.38	-0.04	-0.73	-0.88	-0.26	-1.50
1.091	-0.54	-0.17	-0.91	-0.42	-0.07	-0.77	-0.90	-0.26	-1.54
1.092	-0.58	-0.20	-0.97	-0.45	-0.09	-0.81	-0.97	-0.31	-1.63
1.093	-0.81	-0.43	-1.20	-0.60	-0.24	-0.96	-1.37	-0.71	-2.02
1.094	-0.98	-0.58	-1.38	-0.72	-0.34	-1.09	-1.66	-0.98	-2.33
1.095	-1.15	-0.74	-1.56	-0.83	-0.44	-1.22	-1.95	-1.25	-2.64
1.096	-1.25	-0.84	-1.67	-0.89	-0.50	-1.29	-2.13	-1.43	-2.83
1.097	-1.28	-0.84	-1.71	-0.90	-0.50	-1.31	-2.18	-1.45	-2.90
1.098	-1.17	-0.70	-1.63	-0.91	-0.49	-1.32	-1.98	-1.22	-2.74
1.099	-1.31	-0.79	-1.83	-0.91	-0.48	-1.33	-2.24	-1.39	-3.08
1.1	-1.17	-0.69	-1.66	-0.83	-0.42	-1.24	-1.99	-1.20	-2.78
1.101	-1.17	-0.70	-1.65	-0.83	-0.41	-1.26	-1.99	-1.21	-2.77
1.102	-1.26	-0.78	-1.75	-0.90	-0.46	-1.34	-2.15	-1.35	-2.94
1.103	-1.35	-0.83	-1.87	-0.96	-0.49	-1.43	-2.30	-1.46	-3.14
1.104	-1.28	-0.72	-1.83	-0.95	-0.45	-1.45	-2.18	-1.28	-3.07
1.105	-1.14	-0.60	-1.67	-0.84	-0.37	-1.31	-1.93	-1.06	-2.79
1.106	-0.92	-0.39	-1.44	-0.67	-0.22	-1.12	-1.55	-0.69	-2.40
1.107	-0.83	-0.30	-1.36	-0.57	-0.14	-1.00	-1.39	-0.54	-2.25
1.108	-0.64	-0.12	-1.15	-0.44	-0.03	-0.86	-1.07	-0.23	-1.91
1.109	-0.60	-0.11	-1.10	-0.42	-0.01	-0.82	-1.01	-0.20	-1.81
1.11	-0.26	0.18	-0.71	-0.39	0.00	-0.78	-0.44	0.30	-1.18
1.111	-0.49	-0.06	-0.92	-0.47	-0.08	-0.86	-0.82	-0.10	-1.54
1.112	-0.61	-0.20	-1.02	-0.56	-0.17	-0.94	-1.02	-0.32	-1.71
1.113	-0.75	-0.34	-1.15	-0.66	-0.27	-1.05	-1.25	-0.57	-1.94
1.114	-0.83	-0.43	-1.24	-0.73	-0.34	-1.12	-1.40	-0.72	-2.08
1.115	-0.90	-0.49	-1.31	-0.77	-0.38	-1.17	-1.51	-0.82	-2.20
1.116	-1.02	-0.61	-1.44	-0.87	-0.47	-1.28	-1.73	-1.03	-2.42
1.117	-1.10	-0.70	-1.50	-0.94	-0.54	-1.35	-1.86	-1.19	-2.53
1.118	-1.12	-0.73	-1.51	-0.95	-0.54	-1.36	-1.90	-1.24	-2.56
1.119	-1.27	-0.88	-1.65	-1.02	-0.61	-1.43	-2.15	-1.50	-2.81
1.12	-1.33	-0.94	-1.72	-1.06	-0.64	-1.47	-2.27	-1.61	-2.93
1.121	-1.51	-1.10	-1.91	-1.13	-0.70	-1.55	-2.58	-1.90	-3.26
1.122	-1.68	-1.27	-2.09	-1.19	-0.75	-1.63	-2.90	-2.21	-3.59
1.123	-1.75	-1.35	-2.16	-1.22	-0.78	-1.65	-3.03	-2.35	-3.72
1.124	-1.73	-1.34	-2.12	-1.22	-0.79	-1.64	-2.99	-2.33	-3.66
1.125	-1.69	-1.30	-2.07	-1.20	-0.77	-1.62	-2.91	-2.25	-3.56
1.126	-1.58	-1.17	-1.98	-1.19	-0.76	-1.62	-2.71	-2.03	-3.39
1.127	-1.51	-1.11	-1.91	-1.16	-0.74	-1.59	-2.59	-1.91	-3.26
1.128	-1.48	-1.09	-1.88	-1.14	-0.71	-1.57	-2.54	-1.87	-3.21
1.129	-1.53	-1.13	-1.94	-1.17	-0.73	-1.60	-2.63	-1.95	-3.32
