Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
4.127	2.59	3.57	1.61	2.89	3.40	2.38	3.78	5.29	2.27
4.128	2.58	3.57	1.59	2.89	3.40	2.38	3.78	5.31	2.25
4.129	2.61	3.60	1.61	2.89	3.40	2.38	3.82	5.36	2.29
4.13	2.61	3.49	1.73	2.88	3.39	2.37	3.85	5.22	2.48
4.131	2.81	3.92	1.70	2.87	3.38	2.36	4.10	5.79	2.40
4.132	2.88	3.91	1.86	2.86	3.37	2.36	4.19	5.77	2.62
4.133	2.80	3.90	1.70	2.86	3.37	2.35	4.08	5.77	2.40
4.134	2.80	3.83	1.77	2.87	3.38	2.36	4.09	5.68	2.50
4.135	2.85	3.94	1.76	2.87	3.38	2.37	4.15	5.81	2.48
4.136	2.87	3.95	1.78	2.88	3.39	2.37	4.16	5.82	2.51
4.137	2.88	3.95	1.80	2.89	3.39	2.38	4.18	5.83	2.53
4.138	2.84	3.84	1.84	2.89	3.39	2.38	4.13	5.67	2.59
4.139	2.87	3.94	1.80	2.89	3.39	2.38	4.17	5.81	2.53
4.14	2.74	3.76	1.71	2.89	3.40	2.38	4.00	5.57	2.42
4.141	2.85	3.95	1.76	2.92	3.42	2.41	4.08	5.76	2.41
4.142	2.86	3.96	1.77	2.92	3.43	2.42	4.10	5.77	2.42
4.143	3.00	4.06	1.94	2.94	3.44	2.43	4.26	5.90	2.63
4.144	2.91	4.00	1.82	2.95	3.45	2.44	4.15	5.82	2.48
4.145	2.93	4.03	1.84	2.95	3.46	2.45	4.18	5.85	2.50
4.146	2.96	4.05	1.87	2.96	3.47	2.46	4.21	5.88	2.53
4.147	2.96	3.97	1.95	2.98	3.48	2.47	4.24	5.80	2.68
4.148	2.97	3.99	1.96	2.98	3.48	2.48	4.25	5.82	2.69
4.149	2.97	4.00	1.95	2.97	3.48	2.47	4.25	5.83	2.67
4.15	2.97	4.01	1.94	2.97	3.47	2.46	4.25	5.84	2.66
4.151	2.98	4.02	1.93	2.96	3.47	2.46	4.25	5.86	2.64
4.152	2.97	4.02	1.92	2.96	3.46	2.45	4.24	5.85	2.62
4.153	2.97	4.03	1.91	2.95	3.47	2.44	4.24	5.87	2.61
