Age (Ma)	NH extratropics SST (oC)	NH extratropics SST +1 stdev	NH extratropics SST -1 stdev
0.515	-1.71	-1.02	-2.40
0.516	-1.77	-1.09	-2.46
0.517	-1.69	-0.99	-2.40
0.518	-1.92	-1.22	-2.63
0.519	-1.98	-1.27	-2.70
0.52	-2.03	-1.30	-2.75
0.521	-2.06	-1.31	-2.82
0.522	-1.93	-1.25	-2.61
0.523	-1.81	-1.11	-2.50
0.524	-2.19	-1.34	-3.04
0.525	-2.27	-1.19	-3.35
0.526	-2.26	-1.00	-3.52
0.527	-2.59	-1.46	-3.72
0.528	-2.73	-1.64	-3.82
0.529	-2.19	-1.36	-3.02
0.53	-2.49	-1.71	-3.26
0.531	-2.89	-2.16	-3.63
0.532	-3.07	-2.37	-3.78
0.533	-3.48	-2.71	-4.25
0.534	-3.65	-2.93	-4.37
0.535	-3.97	-3.29	-4.66
0.536	-4.23	-3.52	-4.95
0.537	-4.13	-3.47	-4.78
0.538	-3.92	-3.25	-4.58
0.539	-3.95	-3.26	-4.65
0.54	-3.84	-3.11	-4.58
0.541	-3.74	-3.01	-4.47
0.542	-3.57	-2.80	-4.34
0.543	-3.45	-2.68	-4.22
0.544	-3.32	-2.54	-4.11
0.545	-3.28	-2.50	-4.07
0.546	-3.24	-2.45	-4.03
0.547	-3.22	-2.40	-4.04
0.548	-3.15	-2.31	-3.98
0.549	-3.21	-2.36	-4.06
0.55	-3.33	-2.49	-4.17
0.551	-3.44	-2.60	-4.28
0.552	-3.28	-2.46	-4.10
0.553	-3.18	-2.36	-3.99
0.554	-2.66	-1.82	-3.51
0.555	-3.00	-2.19	-3.82
0.556	-2.80	-1.96	-3.63
0.557	-3.16	-2.38	-3.94
0.558	-2.66	-1.90	-3.41
0.559	-2.97	-2.26	-3.68
0.56	-3.03	-2.31	-3.75
0.561	-2.88	-2.17	-3.59
0.562	-2.89	-2.17	-3.61
0.563	-3.04	-2.36	-3.71
0.564	-2.88	-2.21	-3.56
0.565	-2.32	-1.70	-2.93
0.566	-2.23	-1.64	-2.82
0.567	-2.00	-1.40	-2.60
0.568	-1.89	-1.27	-2.51
0.569	-1.82	-1.18	-2.46
0.57	-1.62	-0.93	-2.30
0.571	-1.55	-0.81	-2.29
0.572	-1.44	-0.70	-2.19
0.573	-1.08	-0.40	-1.77
0.574	-1.00	-0.32	-1.67
0.575	-0.73	-0.05	-1.41
0.576	-0.88	-0.16	-1.59
0.577	-0.73	-0.11	-1.35
0.578	-0.81	-0.22	-1.40
0.579	-0.88	-0.29	-1.46
0.58	-1.44	-0.64	-2.23
0.581	-1.57	-0.76	-2.38
0.582	-1.42	-0.74	-2.11
0.583	-1.48	-0.77	-2.18
0.584	-1.42	-0.71	-2.14
0.585	-1.37	-0.68	-2.06
0.586	-1.26	-0.62	-1.90
0.587	-1.35	-0.70	-2.00
0.588	-1.50	-0.85	-2.15
