Age	d18Osw	sigma
2.306	0.31	0.30
2.307	0.27	0.34
2.308	0.23	0.38
2.309	0.36	0.34
2.31	0.49	0.31
2.311	0.48	0.32
2.312	0.48	0.34
2.313	0.49	0.35
2.314	0.45	0.31
2.315	0.45	0.27
2.316	0.47	0.28
2.317	0.50	0.28
2.318	0.51	0.29
2.319	0.52	0.32
2.32	0.57	0.36
2.321	0.53	0.34
2.322	0.48	0.32
2.323	0.47	0.30
2.324	0.33	0.29
2.325	0.20	0.27
2.326	0.27	0.31
2.327	0.37	0.35
2.328	0.46	0.40
2.329	0.37	0.36
2.33	0.29	0.32
2.331	0.33	0.32
2.332	0.35	0.31
2.333	0.38	0.31
2.334	0.32	0.31
2.335	0.29	0.30
2.336	0.26	0.29
2.337	0.20	0.27
2.338	0.16	0.26
2.339	0.07	0.28
2.34	-0.02	0.31
2.341	0.02	0.29
2.342	0.03	0.28
2.343	0.05	0.27
2.344	0.00	0.27
2.345	-0.02	0.27
2.346	0.03	0.29
2.347	0.07	0.30
2.348	0.10	0.32
2.349	0.24	0.33
2.35	0.36	0.33
2.351	0.40	0.34
2.352	0.43	0.35
2.353	0.47	0.36
2.354	0.48	0.37
2.355	0.50	0.38
2.356	0.53	0.35
2.357	0.59	0.32
2.358	0.62	0.30
2.359	0.54	0.33
2.36	0.46	0.36
2.361	0.44	0.34
2.362	0.44	0.32
2.363	0.42	0.30
2.364	0.42	0.29
2.365	0.45	0.29
2.366	0.49	0.28
2.367	0.51	0.28
2.368	0.54	0.28
2.369	0.52	0.31
2.37	0.52	0.34
2.371	0.43	0.32
2.372	0.34	0.29
2.373	0.27	0.27
2.374	0.20	0.30
2.375	0.10	0.34
2.376	0.11	0.32
2.377	0.12	0.30
2.378	0.13	0.29
2.379	0.11	0.29
2.38	0.09	0.29
2.381	0.04	0.31
2.382	0.01	0.35
2.383	-0.03	0.39
2.384	0.02	0.35
2.385	0.07	0.32
2.386	0.06	0.31
2.387	0.07	0.29
2.388	0.07	0.28
2.389	0.20	0.28
2.39	0.34	0.29
2.391	0.32	0.32
2.392	0.31	0.36
2.393	0.28	0.40
2.394	0.27	0.40
2.395	0.25	0.40
2.396	0.31	0.36
2.397	0.36	0.33
2.398	0.42	0.30
2.399	0.40	0.31
2.4	0.38	0.33
2.401	0.40	0.33
2.402	0.41	0.33
2.403	0.43	0.32
2.404	0.39	0.31
2.405	0.34	0.30
2.406	0.29	0.30
2.407	0.25	0.30
2.408	0.21	0.30
2.409	0.13	0.31
2.41	0.05	0.31
2.411	0.10	0.30
2.412	0.15	0.29
2.413	0.20	0.28
2.414	0.21	0.27
2.415	0.21	0.27
2.416	0.22	0.29
2.417	0.17	0.30
2.418	0.15	0.32
2.419	0.23	0.38
2.42	0.32	0.44
2.421	0.35	0.38
2.422	0.38	0.32
2.423	0.41	0.28
2.424	0.48	0.32
2.425	0.55	0.37
2.426	0.56	0.40
2.427	0.57	0.43
2.428	0.60	0.47
2.429	0.70	0.36
2.43	0.82	0.28
2.431	0.88	0.28
2.432	0.92	0.28
2.433	0.97	0.28
2.434	0.85	0.31
2.435	0.71	0.35
2.436	0.74	0.32
2.437	0.78	0.29
2.438	0.81	0.27
2.439	0.69	0.36
2.44	0.58	0.49
2.441	0.64	0.41
2.442	0.70	0.34
2.443	0.76	0.28
2.444	0.71	0.29
2.445	0.65	0.30
2.446	0.61	0.30
2.447	0.56	0.29
2.448	0.52	0.29
2.449	0.46	0.30
2.45	0.42	0.31
2.451	0.41	0.30
2.452	0.40	0.30
2.453	0.40	0.30
2.454	0.28	0.31
2.455	0.16	0.32
2.456	0.17	0.32
2.457	0.17	0.32
2.458	0.18	0.32
2.459	0.13	0.29
2.46	0.09	0.27
2.461	0.05	0.30
2.462	0.00	0.35
2.463	-0.04	0.40
2.464	0.04	0.32
2.465	0.11	0.26
2.466	0.09	0.28
2.467	0.05	0.30
2.468	0.04	0.33
2.469	0.08	0.30
2.47	0.12	0.28
2.471	0.20	0.32
2.472	0.28	0.36
2.473	0.36	0.41
2.474	0.37	0.34
2.475	0.38	0.28
2.476	0.45	0.30
2.477	0.51	0.31
2.478	0.57	0.33
2.479	0.55	0.36
2.48	0.56	0.40
2.481	0.63	0.38
2.482	0.71	0.35
2.483	0.76	0.33
2.484	0.76	0.33
2.485	0.76	0.33
2.486	0.76	0.33
2.487	0.76	0.33
2.488	0.75	0.33
2.489	0.69	0.33
2.49	0.63	0.34
2.491	0.50	0.37
2.492	0.37	0.41
2.493	0.25	0.45
2.494	0.31	0.36
2.495	0.37	0.30
2.496	0.37	0.30
2.497	0.36	0.30
2.498	0.35	0.30
2.499	0.20	0.29
2.5	0.06	0.29
2.501	0.09	0.28
2.502	0.12	0.27
2.503	0.17	0.26
2.504	0.24	0.27
2.505	0.31	0.27
2.506	0.33	0.28
2.507	0.34	0.30
2.508	0.34	0.31
2.509	0.41	0.29
2.51	0.46	0.27
2.511	0.36	0.29
2.512	0.28	0.32
2.513	0.19	0.36
2.514	0.33	0.37
2.515	0.49	0.38
2.516	0.60	0.36
2.517	0.71	0.35
2.518	0.81	0.33
2.519	0.84	0.30
2.52	0.88	0.28
2.521	0.84	0.29
2.522	0.84	0.30
2.523	0.82	0.31
2.524	0.84	0.29
2.525	0.83	0.27
2.526	0.81	0.27
2.527	0.79	0.27
2.528	0.78	0.27
2.529	0.70	0.30
2.53	0.64	0.34
2.531	0.63	0.31
2.532	0.62	0.29
2.533	0.62	0.28
2.534	0.63	0.27
2.535	0.63	0.27
2.536	0.53	0.27
2.537	0.45	0.28
2.538	0.38	0.28
2.539	0.37	0.33
2.54	0.37	0.39
2.541	0.30	0.35
2.542	0.24	0.31
2.543	0.18	0.28
2.544	0.11	0.28
2.545	0.05	0.29
2.546	0.02	0.32
2.547	-0.01	0.36
2.548	-0.05	0.40
2.549	-0.01	0.32
2.55	0.03	0.26
2.551	0.03	0.27
2.552	0.03	0.28
2.553	0.01	0.30
2.554	0.07	0.30
2.555	0.13	0.30
2.556	0.16	0.35
2.557	0.19	0.41
2.558	0.24	0.48
2.559	0.27	0.39
2.56	0.30	0.32
2.561	0.32	0.32
2.562	0.33	0.32
2.563	0.35	0.32
2.564	0.36	0.29
2.565	0.38	0.26
2.566	0.33	0.27
2.567	0.28	0.29
2.568	0.22	0.32
2.569	0.27	0.29
2.57	0.31	0.27
2.571	0.30	0.27
2.572	0.29	0.28
2.573	0.31	0.28
2.574	0.27	0.30
2.575	0.23	0.32
2.576	0.17	0.34
2.577	0.11	0.36
2.578	0.05	0.38
2.579	0.11	0.38
2.58	0.17	0.39
2.581	0.15	0.35
2.582	0.11	0.31
2.583	0.07	0.28
2.584	0.10	0.27
2.585	0.12	0.27
2.586	0.12	0.29
2.587	0.12	0.32
2.588	0.11	0.36
2.589	0.09	0.36
2.59	0.07	0.36
2.591	0.10	0.33
2.592	0.12	0.31
2.593	0.15	0.29
2.594	0.22	0.32
2.595	0.29	0.35
2.596	0.32	0.32
2.597	0.35	0.30
2.598	0.38	0.28
2.599	0.49	0.29
2.6	0.60	0.31
2.601	0.55	0.31
2.602	0.53	0.31
2.603	0.50	0.31
2.604	0.57	0.30
2.605	0.64	0.29
2.606	0.60	0.29
2.607	0.57	0.30
2.608	0.53	0.30
2.609	0.55	0.29
2.61	0.57	0.28
2.611	0.53	0.27
2.612	0.49	0.27
2.613	0.44	0.26
2.614	0.31	0.29
2.615	0.18	0.33
2.616	0.21	0.31
2.617	0.25	0.29
2.618	0.31	0.27
2.619	0.23	0.27
2.62	0.14	0.26
2.621	0.15	0.27
2.622	0.14	0.27
2.623	0.14	0.27
2.624	0.09	0.28
2.625	0.04	0.28
2.626	0.04	0.27
2.627	0.04	0.27
2.628	0.05	0.26
2.629	0.04	0.30
2.63	0.02	0.36
2.631	0.08	0.32
2.632	0.16	0.29
2.633	0.23	0.27
2.634	0.25	0.27
2.635	0.25	0.27
2.636	0.30	0.29
2.637	0.32	0.31
2.638	0.38	0.33
2.639	0.39	0.30
2.64	0.40	0.28
2.641	0.41	0.30
2.642	0.41	0.32
2.643	0.40	0.34
2.644	0.44	0.34
2.645	0.48	0.33
2.646	0.44	0.38
2.647	0.42	0.43
2.648	0.39	0.48
2.649	0.29	0.38
2.65	0.21	0.30
2.651	0.12	0.32
2.652	0.05	0.33
2.653	-0.02	0.35
2.654	0.02	0.31
2.655	0.06	0.28
2.656	0.03	0.29
2.657	-0.02	0.30
2.658	-0.07	0.31
2.659	0.01	0.31
2.66	0.07	0.30
2.661	0.05	0.30
2.662	0.02	0.29
2.663	0.00	0.28
2.664	0.03	0.29
2.665	0.07	0.30
2.666	0.08	0.31
2.667	0.09	0.33
2.668	0.09	0.35
2.669	0.10	0.34
2.67	0.10	0.34
2.671	0.11	0.34
2.672	0.12	0.35
2.673	0.12	0.36
2.674	0.12	0.33
2.675	0.12	0.31
2.676	0.15	0.29
2.677	0.18	0.28
2.678	0.20	0.27
2.679	0.23	0.28
2.68	0.26	0.29
2.681	0.36	0.28
2.682	0.44	0.28
2.683	0.53	0.27
2.684	0.56	0.27
2.685	0.56	0.27
2.686	0.56	0.29
2.687	0.56	0.31
2.688	0.56	0.33
2.689	0.58	0.36
2.69	0.61	0.40
2.691	0.52	0.38
2.692	0.45	0.36
2.693	0.37	0.34
2.694	0.40	0.31
2.695	0.38	0.29
2.696	0.38	0.29
2.697	0.39	0.29
2.698	0.39	0.28
2.699	0.40	0.28
2.7	0.43	0.28
2.701	0.38	0.31
2.702	0.32	0.35
2.703	0.26	0.40
2.704	0.34	0.35
2.705	0.42	0.31
2.706	0.45	0.31
2.707	0.49	0.30
2.708	0.52	0.30
2.709	0.50	0.33
2.71	0.50	0.35
2.711	0.46	0.37
2.712	0.48	0.38
2.713	0.50	0.40
2.714	0.50	0.39
2.715	0.50	0.39
2.716	0.53	0.39
2.717	0.55	0.39
2.718	0.57	0.39
2.719	0.52	0.37
2.72	0.49	0.35
2.721	0.52	0.34
2.722	0.54	0.33
2.723	0.55	0.32
2.724	0.52	0.29
2.725	0.47	0.28
2.726	0.48	0.28
2.727	0.46	0.28
2.728	0.45	0.29
2.729	0.41	0.30
2.73	0.37	0.32
2.731	0.35	0.31
2.732	0.32	0.30
2.733	0.28	0.30
2.734	0.22	0.30
2.735	0.16	0.30
2.736	0.08	0.31
2.737	-0.01	0.31
2.738	-0.09	0.32
2.739	-0.09	0.31
2.74	-0.09	0.30
2.741	-0.10	0.30
2.742	-0.13	0.31
2.743	-0.15	0.31
2.744	-0.10	0.30
2.745	-0.05	0.30
2.746	-0.05	0.29
2.747	-0.05	0.28
2.748	-0.05	0.27
2.749	-0.05	0.27
2.75	-0.06	0.27
2.751	-0.05	0.28
2.752	-0.05	0.30
2.753	-0.03	0.31
2.754	-0.02	0.29
2.755	-0.01	0.27
2.756	0.01	0.27
2.757	0.03	0.27
2.758	0.05	0.27
2.759	0.14	0.31
2.76	0.25	0.37
2.761	0.21	0.36
2.762	0.19	0.35
2.763	0.17	0.34
2.764	0.13	0.32
2.765	0.10	0.31
2.766	0.10	0.30
2.767	0.08	0.30
2.768	0.08	0.29
2.769	0.01	0.34
2.77	-0.06	0.40
2.771	-0.06	0.38
2.772	-0.07	0.37
2.773	-0.04	0.36
2.774	-0.04	0.36
2.775	-0.04	0.36
2.776	-0.04	0.33
2.777	-0.03	0.31
2.778	-0.01	0.28
2.779	-0.03	0.30
2.78	-0.04	0.32
2.781	-0.03	0.31
2.782	-0.03	0.31
2.783	-0.04	0.30
2.784	0.00	0.35
2.785	0.05	0.40
2.786	0.06	0.35
2.787	0.06	0.31
2.788	0.07	0.27
2.789	0.08	0.28
2.79	0.08	0.29
2.791	0.10	0.28
2.792	0.14	0.27
2.793	0.17	0.26
2.794	0.23	0.27
2.795	0.26	0.29
2.796	0.29	0.29
2.797	0.34	0.29
2.798	0.38	0.30
2.799	0.29	0.32
2.8	0.19	0.34
2.801	0.33	0.35
2.802	0.46	0.35
2.803	0.57	0.36
2.804	0.55	0.35
2.805	0.52	0.34
2.806	0.54	0.31
2.807	0.55	0.29
2.808	0.56	0.27
2.809	0.53	0.28
2.81	0.52	0.29
2.811	0.50	0.29
2.812	0.50	0.29
2.813	0.49	0.29
2.814	0.42	0.27
2.815	0.35	0.26
2.816	0.36	0.26
2.817	0.35	0.27
2.818	0.36	0.28
2.819	0.35	0.30
2.82	0.35	0.34
2.821	0.25	0.31
2.822	0.14	0.29
2.823	0.04	0.27
2.824	0.06	0.27
2.825	0.05	0.27
2.826	0.03	0.28
2.827	0.01	0.29
2.828	0.00	0.30
2.829	0.00	0.29
2.83	0.01	0.28
2.831	0.04	0.29
2.832	0.06	0.30
2.833	0.08	0.31
2.834	0.10	0.33
2.835	0.13	0.35
2.836	0.19	0.31
2.837	0.24	0.28
2.838	0.30	0.26
2.839	0.31	0.27
2.84	0.33	0.27
2.841	0.32	0.28
2.842	0.31	0.28
2.843	0.30	0.29
2.844	0.26	0.28
2.845	0.22	0.27
2.846	0.26	0.30
2.847	0.29	0.34
2.848	0.33	0.39
2.849	0.30	0.34
2.85	0.29	0.31
2.851	0.30	0.32
2.852	0.32	0.33
2.853	0.32	0.35
2.854	0.24	0.34
2.855	0.15	0.32
2.856	0.07	0.32
2.857	-0.02	0.32
2.858	-0.09	0.31
2.859	-0.03	0.29
2.86	0.04	0.27
2.861	0.03	0.27
2.862	0.02	0.27
2.863	0.01	0.27
2.864	0.05	0.30
2.865	0.10	0.36
2.866	0.10	0.33
2.867	0.10	0.30
2.868	0.09	0.28
2.869	0.17	0.32
2.87	0.24	0.37
2.871	0.21	0.33
2.872	0.19	0.30
2.873	0.18	0.27
2.874	0.29	0.30
2.875	0.40	0.33
2.876	0.38	0.32
2.877	0.36	0.30
2.878	0.34	0.29
2.879	0.32	0.30
2.88	0.30	0.31
2.881	0.28	0.31
2.882	0.27	0.32
2.883	0.25	0.32
2.884	0.26	0.31
2.885	0.28	0.29
2.886	0.28	0.29
2.887	0.30	0.29
2.888	0.31	0.29
2.889	0.30	0.30
2.89	0.28	0.31
2.891	0.22	0.33
2.892	0.15	0.36
2.893	0.10	0.38
2.894	0.08	0.36
2.895	0.06	0.34
2.896	0.02	0.33
2.897	-0.02	0.32
2.898	-0.06	0.30
2.899	-0.02	0.31
2.9	0.02	0.32
2.901	0.01	0.30
2.902	0.01	0.29
2.903	-0.01	0.28
2.904	0.00	0.28
2.905	0.01	0.28
2.906	0.03	0.28
2.907	0.04	0.28
2.908	0.05	0.28
2.909	0.10	0.28
2.91	0.14	0.28
2.911	0.14	0.28
2.912	0.12	0.28
2.913	0.12	0.28
2.914	0.14	0.30
2.915	0.15	0.33
2.916	0.12	0.31
2.917	0.09	0.30
2.918	0.05	0.29
2.919	0.13	0.27
2.92	0.20	0.26
2.921	0.23	0.26
2.922	0.24	0.27
2.923	0.25	0.27
2.924	0.29	0.28
2.925	0.32	0.28
2.926	0.28	0.31
2.927	0.24	0.36
2.928	0.19	0.41
2.929	0.31	0.35
2.93	0.43	0.30
2.931	0.37	0.30
2.932	0.32	0.30
2.933	0.27	0.30
2.934	0.23	0.29
2.935	0.18	0.28
2.936	0.14	0.27
2.937	0.09	0.27
2.938	0.04	0.26
2.939	-0.03	0.27
2.94	-0.09	0.28
2.941	-0.07	0.29
2.942	-0.06	0.30
2.943	-0.06	0.31
2.944	-0.11	0.30
2.945	-0.16	0.30
2.946	-0.19	0.30
2.947	-0.23	0.29
2.948	-0.26	0.29
2.949	-0.26	0.30
2.95	-0.26	0.31
2.951	-0.21	0.29
2.952	-0.17	0.28
2.953	-0.12	0.27
2.954	-0.09	0.30
2.955	-0.06	0.34
2.956	0.02	0.32
2.957	0.08	0.31
2.958	0.16	0.30
2.959	0.09	0.29
2.96	0.00	0.28
2.961	0.02	0.28
2.962	0.05	0.27
2.963	0.07	0.27
2.964	0.06	0.28
2.965	0.04	0.29
2.966	0.08	0.28
2.967	0.10	0.28
2.968	0.14	0.27
2.969	0.17	0.28
2.97	0.19	0.29
2.971	0.20	0.29
2.972	0.21	0.29
2.973	0.23	0.29
2.974	0.24	0.29
2.975	0.25	0.29
2.976	0.24	0.30
2.977	0.22	0.32
2.978	0.20	0.34
2.979	0.21	0.36
2.98	0.23	0.39
2.981	0.17	0.39
2.982	0.12	0.39
2.983	0.06	0.39
2.984	0.02	0.36
2.985	-0.01	0.33
2.986	-0.03	0.33
2.987	-0.06	0.32
2.988	-0.09	0.32
2.989	-0.07	0.31
2.99	-0.04	0.31
2.991	-0.04	0.31
2.992	-0.02	0.30
2.993	-0.01	0.30
2.994	-0.01	0.29
2.995	0.00	0.29
2.996	0.04	0.28
2.997	0.07	0.28
2.998	0.11	0.27
2.999	0.16	0.29
3	0.20	0.30
3.001	0.21	0.31
3.002	0.20	0.31
3.003	0.23	0.32
3.004	0.24	0.32
3.005	0.25	0.32
3.006	0.25	0.32
3.007	0.27	0.31
3.008	0.26	0.30
3.009	0.27	0.30
3.01	0.28	0.29
3.011	0.26	0.29
3.012	0.25	0.29
3.013	0.25	0.29
3.014	0.23	0.30
3.015	0.22	0.30
3.016	0.20	0.29
3.017	0.18	0.29
3.018	0.16	0.29
3.019	0.14	0.29
3.02	0.12	0.28
3.021	0.13	0.29
3.022	0.13	0.29
3.023	0.13	0.29
3.024	0.13	0.30
3.025	0.14	0.30
3.026	0.09	0.32
3.027	0.04	0.34
3.028	-0.01	0.37
3.029	-0.05	0.39
3.03	-0.10	0.42
3.031	-0.10	0.40
3.032	-0.11	0.38
3.033	-0.12	0.36
3.034	-0.13	0.35
3.035	-0.14	0.33
3.036	-0.12	0.32
3.037	-0.11	0.30
3.038	-0.10	0.29
3.039	-0.08	0.28
3.04	-0.06	0.27
3.041	-0.02	0.27
3.042	0.02	0.27
3.043	0.05	0.28
3.044	0.11	0.28
3.045	0.13	0.28
3.046	0.14	0.28
3.047	0.13	0.28
3.048	0.14	0.28
3.049	0.14	0.28
3.05	0.15	0.28
3.051	0.12	0.29
3.052	0.10	0.29
3.053	0.08	0.29
3.054	0.06	0.30
3.055	0.03	0.30
3.056	0.03	0.31
3.057	0.03	0.31
3.058	0.01	0.32
3.059	0.00	0.33
3.06	-0.01	0.34
3.061	-0.01	0.34
3.062	0.00	0.35
3.063	0.00	0.35
3.064	0.01	0.35
3.065	0.03	0.36
3.066	0.00	0.35
3.067	-0.02	0.35
3.068	-0.04	0.34
3.069	-0.04	0.34
3.07	-0.06	0.33
3.071	-0.08	0.33
3.072	-0.11	0.34
3.073	-0.14	0.34
3.074	-0.16	0.34
3.075	-0.19	0.34
3.076	-0.17	0.33
3.077	-0.15	0.31
3.078	-0.13	0.30
3.079	-0.12	0.29
3.08	-0.10	0.28
3.081	-0.09	0.28
3.082	-0.11	0.29
3.083	-0.12	0.29
3.084	-0.13	0.29
3.085	-0.14	0.30
3.086	-0.13	0.30
3.087	-0.13	0.29
3.088	-0.11	0.29
3.089	-0.09	0.29
3.09	-0.07	0.29
3.091	-0.06	0.29
3.092	-0.03	0.29
3.093	-0.02	0.29
3.094	-0.01	0.30
3.095	0.00	0.30
3.096	0.02	0.30
3.097	0.03	0.29
3.098	0.05	0.29
3.099	0.07	0.29
3.1	0.08	0.29
3.101	0.07	0.29
3.102	0.05	0.29
3.103	0.04	0.29
3.104	0.03	0.29
3.105	0.01	0.29
3.106	-0.01	0.29
3.107	-0.03	0.30
3.108	-0.05	0.30
3.109	-0.06	0.30
3.11	-0.08	0.31
3.111	-0.06	0.31
3.112	-0.04	0.31
3.113	-0.02	0.31
3.114	-0.01	0.31
3.115	0.01	0.31
3.116	0.03	0.31
3.117	0.05	0.31
3.118	0.07	0.31
3.119	0.10	0.31
3.12	0.12	0.31
3.121	0.12	0.29
3.122	0.12	0.28
3.123	0.14	0.27
3.124	0.13	0.27
3.125	0.13	0.26
3.126	0.16	0.26
3.127	0.17	0.26
3.128	0.19	0.26
3.129	0.20	0.26
3.13	0.23	0.26
3.131	0.24	0.27
3.132	0.25	0.27
3.133	0.27	0.27
3.134	0.28	0.28
3.135	0.28	0.28
3.136	0.27	0.29
3.137	0.26	0.29
3.138	0.25	0.30
3.139	0.24	0.30
3.14	0.24	0.31
3.141	0.20	0.32
3.142	0.16	0.33
3.143	0.14	0.35
3.144	0.11	0.36
3.145	0.09	0.38
3.146	0.08	0.39
3.147	0.05	0.40
3.148	0.04	0.41
3.149	0.02	0.42
3.15	0.00	0.43
3.151	-0.04	0.40
3.152	-0.08	0.38
3.153	-0.13	0.36
3.154	-0.18	0.34
3.155	-0.22	0.33
3.156	-0.21	0.32
3.157	-0.21	0.32
3.158	-0.19	0.31
3.159	-0.20	0.31
3.16	-0.21	0.30
3.161	-0.19	0.31
3.162	-0.19	0.31
3.163	-0.17	0.32
3.164	-0.16	0.33
3.165	-0.15	0.33
3.166	-0.12	0.32
3.167	-0.09	0.31
3.168	-0.07	0.31
3.169	-0.04	0.30
3.17	-0.02	0.29
3.171	-0.03	0.30
3.172	-0.04	0.31
3.173	-0.04	0.31
3.174	-0.05	0.32
3.175	-0.06	0.33
3.176	-0.07	0.33
3.177	-0.08	0.33
3.178	-0.09	0.33
3.179	-0.10	0.33
3.18	-0.12	0.33
3.181	-0.11	0.32
3.182	-0.11	0.30
3.183	-0.11	0.29
3.184	-0.10	0.28
3.185	-0.09	0.27
3.186	-0.12	0.28
3.187	-0.14	0.30
3.188	-0.16	0.31
3.189	-0.19	0.33
3.19	-0.19	0.34
3.191	-0.18	0.33
3.192	-0.14	0.31
3.193	-0.10	0.30
3.194	-0.05	0.28
3.195	-0.02	0.27
3.196	-0.06	0.28
3.197	-0.10	0.30
3.198	-0.13	0.31
3.199	-0.16	0.33
3.2	-0.19	0.35
3.201	-0.18	0.34
3.202	-0.17	0.33
3.203	-0.15	0.33
3.204	-0.13	0.33
3.205	-0.12	0.32
3.206	-0.13	0.32
3.207	-0.13	0.32
3.208	-0.13	0.32
3.209	-0.13	0.32
3.21	-0.14	0.31
3.211	-0.13	0.30
3.212	-0.12	0.29
3.213	-0.11	0.28
3.214	-0.10	0.27
3.215	-0.10	0.26
3.216	-0.10	0.27
3.217	-0.11	0.27
3.218	-0.12	0.28
3.219	-0.12	0.29
3.22	-0.12	0.29
3.221	-0.10	0.29
3.222	-0.09	0.29
3.223	-0.07	0.29
3.224	-0.05	0.28
3.225	-0.02	0.28
3.226	-0.02	0.28
3.227	-0.04	0.28
3.228	-0.07	0.28
3.229	-0.08	0.28
3.23	-0.08	0.28
3.231	-0.09	0.28
3.232	-0.09	0.27
3.233	-0.09	0.27
3.234	-0.09	0.27
3.235	-0.09	0.27
3.236	-0.13	0.28
3.237	-0.18	0.29
3.238	-0.22	0.30
3.239	-0.27	0.32
3.24	-0.30	0.34
3.241	-0.29	0.33
3.242	-0.28	0.32
3.243	-0.26	0.31
3.244	-0.24	0.31
3.245	-0.23	0.30
3.246	-0.22	0.29
3.247	-0.19	0.29
3.248	-0.17	0.28
3.249	-0.14	0.28
3.25	-0.12	0.28
3.251	-0.12	0.28
3.252	-0.12	0.28
3.253	-0.11	0.28
3.254	-0.10	0.29
3.255	-0.07	0.29
3.256	-0.04	0.29
3.257	0.00	0.28
3.258	0.01	0.28
3.259	0.02	0.27
3.26	0.05	0.27
3.261	0.05	0.28
3.262	0.05	0.30
3.263	0.05	0.33
3.264	0.06	0.36
3.265	0.05	0.40
3.266	0.03	0.40
3.267	0.02	0.40
3.268	0.00	0.41
3.269	-0.01	0.41
3.27	-0.03	0.41
3.271	-0.03	0.38
3.272	-0.01	0.36
3.273	0.00	0.33
3.274	0.01	0.31
3.275	0.03	0.29
3.276	0.05	0.29
3.277	0.06	0.29
3.278	0.06	0.28
3.279	0.07	0.28
3.28	0.11	0.28
3.281	0.10	0.28
3.282	0.11	0.29
3.283	0.10	0.29
3.284	0.10	0.29
3.285	0.10	0.29
3.286	0.15	0.30
3.287	0.19	0.30
3.288	0.24	0.30
3.289	0.29	0.30
3.29	0.34	0.31
3.291	0.36	0.31
3.292	0.37	0.31
3.293	0.38	0.32
3.294	0.41	0.32
3.295	0.43	0.33
3.296	0.42	0.33
3.297	0.40	0.32
3.298	0.39	0.32
3.299	0.38	0.32
3.3	0.37	0.32
3.301	0.35	0.31
3.302	0.31	0.30
3.303	0.30	0.29
3.304	0.29	0.29
3.305	0.26	0.28
3.306	0.22	0.28
3.307	0.19	0.29
3.308	0.15	0.29
3.309	0.12	0.29
3.31	0.09	0.29
3.311	0.06	0.30
3.312	0.04	0.31
3.313	0.00	0.33
3.314	-0.03	0.34
3.315	-0.06	0.35
3.316	-0.08	0.34
3.317	-0.10	0.34
3.318	-0.13	0.33
3.319	-0.15	0.32
3.32	-0.16	0.32
3.321	-0.15	0.30
3.322	-0.13	0.29
3.323	-0.11	0.28
3.324	-0.10	0.27
3.325	-0.08	0.26
3.326	-0.07	0.26
3.327	-0.05	0.27
3.328	-0.04	0.27
3.329	-0.02	0.27
3.33	-0.01	0.27
3.331	0.00	0.27
3.332	0.00	0.28
3.333	0.02	0.28
3.334	0.04	0.28
3.335	0.04	0.28
3.336	0.03	0.28
3.337	0.04	0.29
3.338	0.04	0.30
3.339	0.04	0.30
3.34	0.06	0.31
3.341	0.06	0.31
3.342	0.06	0.30
3.343	0.07	0.30
3.344	0.07	0.30
3.345	0.07	0.29
3.346	0.06	0.29
3.347	0.04	0.29
3.348	0.03	0.28
3.349	0.01	0.28
3.35	-0.01	0.28
3.351	-0.03	0.28
3.352	0.00	0.29
3.353	-0.02	0.30
3.354	-0.04	0.31
3.355	-0.06	0.32
3.356	-0.03	0.31
3.357	-0.03	0.30
3.358	-0.01	0.30
3.359	0.01	0.29
3.36	0.02	0.28
3.361	0.01	0.29
3.362	-0.02	0.30
3.363	-0.04	0.31
3.364	-0.07	0.33
3.365	-0.06	0.34
3.366	-0.09	0.33
3.367	-0.10	0.32
3.368	-0.09	0.31
3.369	-0.10	0.30
3.37	-0.10	0.29
3.371	-0.06	0.30
3.372	-0.04	0.30
3.373	0.01	0.30
3.374	0.04	0.30
3.375	0.07	0.30
3.376	0.09	0.30
3.377	0.10	0.29
3.378	0.12	0.29
3.379	0.14	0.29
3.38	0.18	0.28
3.381	0.16	0.28
3.382	0.15	0.28
3.383	0.16	0.27
3.384	0.15	0.27
3.385	0.15	0.27
3.386	0.13	0.27
3.387	0.11	0.27
3.388	0.11	0.27
3.389	0.08	0.28
3.39	0.07	0.28
3.391	0.04	0.28
3.392	0.01	0.28
3.393	-0.01	0.28
3.394	-0.02	0.28
3.395	-0.06	0.27
3.396	-0.07	0.28
3.397	-0.07	0.28
3.398	-0.08	0.29
3.399	-0.08	0.29
3.4	-0.07	0.30
3.401	-0.07	0.29
3.402	-0.09	0.29
3.403	-0.10	0.29
3.404	-0.10	0.28
3.405	-0.09	0.28
3.406	-0.08	0.28
3.407	-0.09	0.28
3.408	-0.09	0.28
3.409	-0.10	0.28
3.41	-0.11	0.28
3.411	-0.12	0.28
3.412	-0.13	0.29
3.413	-0.15	0.29
3.414	-0.16	0.29
3.415	-0.18	0.29
3.416	-0.14	0.29
3.417	-0.12	0.29
3.418	-0.08	0.29
3.419	-0.07	0.29
3.42	-0.05	0.29
3.421	-0.03	0.29
3.422	-0.04	0.28
3.423	-0.05	0.28
3.424	-0.04	0.28
3.425	-0.04	0.27
3.426	-0.06	0.27
3.427	-0.08	0.27
3.428	-0.11	0.27
3.429	-0.13	0.27
3.43	-0.15	0.27
3.431	-0.18	0.28
3.432	-0.18	0.28
3.433	-0.21	0.29
3.434	-0.23	0.30
3.435	-0.28	0.31
3.436	-0.28	0.29
3.437	-0.28	0.28
3.438	-0.28	0.27
3.439	-0.27	0.27
3.44	-0.27	0.26
3.441	-0.27	0.27
3.442	-0.25	0.28
3.443	-0.24	0.29
