Age	d18Osw	sigma
0.42	0.19	0.31
0.421	0.33	0.46
0.422	0.22	0.34
0.423	0.09	0.34
0.424	-0.01	0.43
0.425	0.37	0.40
0.426	0.69	0.35
0.427	0.00	0.36
0.428	0.56	0.38
0.429	0.91	0.36
0.43	0.96	0.30
0.431	1.08	0.31
0.432	1.09	0.32
0.433	0.94	0.32
0.434	1.09	0.33
0.435	1.03	0.30
0.436	0.96	0.30
0.437	0.83	0.28
0.438	0.85	0.29
0.439	0.94	0.30
0.44	0.78	0.38
0.441	0.85	0.28
0.442	0.86	0.29
0.443	0.82	0.28
0.444	0.66	0.30
0.445	0.61	0.30
0.446	0.67	0.28
0.447	0.45	0.41
0.448	0.62	0.29
0.449	0.61	0.29
0.45	0.62	0.31
0.451	0.49	0.31
0.452	0.53	0.32
0.453	0.43	0.30
0.454	0.53	0.36
0.455	0.37	0.29
0.456	0.30	0.30
0.457	0.48	0.35
0.458	0.44	0.29
0.459	0.35	0.33
0.46	0.39	0.30
0.461	0.36	0.30
0.462	0.25	0.30
0.463	0.35	0.30
0.464	0.16	0.43
0.465	0.32	0.28
0.466	0.30	0.27
0.467	0.33	0.28
0.468	0.29	0.33
0.469	0.31	0.32
0.47	0.21	0.33
0.471	0.14	0.35
0.472	0.24	0.34
0.473	0.20	0.40
0.474	0.31	0.34
0.475	0.40	0.27
0.476	0.43	0.28
0.477	0.34	0.28
0.478	0.45	0.28
0.479	0.38	0.35
0.48	0.32	0.36
0.481	0.33	0.29
0.482	0.28	0.28
0.483	0.27	0.28
0.484	0.14	0.28
0.485	0.27	0.33
0.486	0.21	0.29
0.487	0.13	0.29
0.488	0.05	0.30
0.489	0.03	0.28
0.49	0.07	0.31
0.491	0.05	0.33
0.492	0.02	0.30
0.493	-0.02	0.30
0.494	0.20	0.53
0.495	0.08	0.28
0.496	-0.02	0.31
0.497	0.08	0.28
0.498	0.38	0.42
0.499	0.18	0.28
0.5	0.18	0.27
0.501	0.24	0.28
0.502	0.20	0.27
0.503	0.16	0.27
0.504	0.18	0.28
0.505	0.18	0.28
0.506	0.18	0.33
0.507	0.24	0.29
0.508	0.15	0.32
0.509	0.23	0.28
0.51	0.29	0.29
0.511	0.41	0.29
0.512	0.51	0.39
0.513	0.46	0.28
0.514	0.41	0.30
0.515	0.46	0.28
0.516	0.41	0.31
0.517	0.36	0.30
0.518	0.35	0.28
0.519	0.25	0.29
0.52	0.26	0.28
0.521	0.20	0.29
0.522	0.20	0.34
0.523	0.18	0.28
0.524	-0.05	0.38
0.525	0.05	0.36
0.526	0.11	0.30
0.527	0.24	0.29
0.528	0.14	0.29
0.529	0.18	0.29
0.53	0.15	0.28
0.531	0.11	0.45
0.532	0.26	0.29
0.533	0.19	0.31
0.534	0.27	0.30
0.535	0.42	0.33
0.536	0.59	0.30
0.537	0.28	0.44
0.538	0.64	0.30
0.539	0.50	0.34
0.54	0.45	0.38
0.541	0.62	0.35
0.542	0.33	0.39
0.543	0.63	0.31
0.544	0.44	0.39
0.545	0.56	0.33
0.546	0.62	0.36
0.547	0.59	0.29
0.548	0.59	0.29
0.549	0.57	0.30
0.55	0.62	0.29
0.551	0.48	0.32
0.552	0.65	0.28
0.553	0.52	0.31
0.554	0.53	0.28
0.555	0.47	0.27
0.556	0.47	0.27
0.557	0.48	0.30
0.558	0.52	0.33
0.559	0.43	0.27
0.56	0.44	0.32
0.561	0.39	0.27
0.562	0.32	0.29
0.563	0.47	0.35
0.564	0.35	0.29
