Age	d18OT	sigma
1.160	3.19	0.07
1.161	3.18	0.07
1.162	3.17	0.07
1.163	3.16	0.07
1.164	3.16	0.07
1.165	3.16	0.07
1.166	3.15	0.07
1.167	3.15	0.07
1.168	3.15	0.07
1.169	3.14	0.07
1.170	3.14	0.07
1.171	3.15	0.07
1.172	3.14	0.07
1.173	3.14	0.07
1.174	3.14	0.07
1.175	3.15	0.07
1.176	3.15	0.08
1.177	3.15	0.08
1.178	3.15	0.07
1.179	3.15	0.07
1.180	3.14	0.07
1.181	3.13	0.07
1.182	3.12	0.06
1.183	3.12	0.06
1.184	3.12	0.06
1.185	3.12	0.05
1.186	3.12	0.05
1.187	3.12	0.06
1.188	3.12	0.06
1.189	3.13	0.06
1.190	3.14	0.06
1.191	3.17	0.06
1.192	3.18	0.06
1.193	3.21	0.07
1.194	3.22	0.07
1.195	3.25	0.07
1.196	3.26	0.07
1.197	3.27	0.07
1.198	3.30	0.07
1.199	3.32	0.07
1.200	3.33	0.08
1.201	3.33	0.08
1.202	3.33	0.08
1.203	3.33	0.08
1.204	3.33	0.08
1.205	3.33	0.09
1.206	3.32	0.09
1.207	3.31	0.08
1.208	3.30	0.07
1.209	3.28	0.06
1.210	3.29	0.05
1.211	3.28	0.05
1.212	3.27	0.05
1.213	3.29	0.05
1.214	3.29	0.05
1.215	3.31	0.06
1.216	3.32	0.06
1.217	3.33	0.07
1.218	3.32	0.07
1.219	3.33	0.07
1.220	3.33	0.07
1.221	3.33	0.07
1.222	3.31	0.06
1.223	3.30	0.06
1.224	3.28	0.06
1.225	3.27	0.06
1.226	3.25	0.06
1.227	3.23	0.06
1.228	3.23	0.06
1.229	3.21	0.06
1.230	3.20	0.06
1.231	3.16	0.07
1.232	3.14	0.06
1.233	3.14	0.07
1.234	3.15	0.07
1.235	3.15	0.07
1.236	3.15	0.07
1.237	3.15	0.07
1.238	3.17	0.08
1.239	3.18	0.08
1.240	3.18	0.08
1.241	3.20	0.08
1.242	3.22	0.08
1.243	3.26	0.08
1.244	3.28	0.08
1.245	3.32	0.08
1.246	3.36	0.08
1.247	3.37	0.08
1.248	3.39	0.08
1.249	3.40	0.07
1.250	3.41	0.07
1.251	3.39	0.07
1.252	3.38	0.07
1.253	3.40	0.07
1.254	3.41	0.07
1.255	3.42	0.07
1.256	3.43	0.08
1.257	3.43	0.09
1.258	3.42	0.08
1.259	3.42	0.08
1.260	3.41	0.08
1.261	3.42	0.09
1.262	3.42	0.09
1.263	3.42	0.10
1.264	3.40	0.09
1.265	3.37	0.09
1.266	3.36	0.09
1.267	3.35	0.08
1.268	3.34	0.08
1.269	3.34	0.08
1.270	3.32	0.08
1.271	3.31	0.08
1.272	3.29	0.09
1.273	3.29	0.09
1.274	3.27	0.09
1.275	3.27	0.08
1.276	3.26	0.08
1.277	3.26	0.08
1.278	3.25	0.07
1.279	3.25	0.07
1.280	3.23	0.06
1.281	3.25	0.07
1.282	3.27	0.07
1.283	3.27	0.08
1.284	3.29	0.09
1.285	3.29	0.09
1.286	3.29	0.09
1.287	3.27	0.08
1.288	3.28	0.08
1.289	3.29	0.09
1.290	3.30	0.09
1.291	3.28	0.09
1.292	3.28	0.09
1.293	3.29	0.09
1.294	3.31	0.10
1.295	3.31	0.09
1.296	3.31	0.10
1.297	3.31	0.09
1.298	3.32	0.09
1.299	3.31	0.08
1.300	3.30	0.07
1.301	3.30	0.07
1.302	3.29	0.07
1.303	3.28	0.07
1.304	3.28	0.07
1.305	3.27	0.07
1.306	3.25	0.07
1.307	3.24	0.07
1.308	3.23	0.07
1.309	3.22	0.07
1.310	3.20	0.07
1.311	3.20	0.07
1.312	3.19	0.07
1.313	3.18	0.07
1.314	3.16	0.08
1.315	3.15	0.08
1.316	3.14	0.07
1.317	3.13	0.07
1.318	3.13	0.06
1.319	3.13	0.06
1.320	3.15	0.06
1.321	3.16	0.06
1.322	3.18	0.06
1.323	3.19	0.07
1.324	3.20	0.07
1.325	3.20	0.08
1.326	3.21	0.08
1.327	3.20	0.08
1.328	3.21	0.07
1.329	3.22	0.07
1.330	3.22	0.06
1.331	3.22	0.06
1.332	3.23	0.06
1.333	3.25	0.06
1.334	3.27	0.07
1.335	3.26	0.07
1.336	3.24	0.08
1.337	3.27	0.08
1.338	3.28	0.08
1.339	3.28	0.08
1.340	3.28	0.08
1.341	3.27	0.08
1.342	3.27	0.08
1.343	3.26	0.08
1.344	3.25	0.07
1.345	3.21	0.07
1.346	3.20	0.07
1.347	3.19	0.07
1.348	3.17	0.07
1.349	3.15	0.07
1.350	3.14	0.08
1.351	3.15	0.08
1.352	3.13	0.07
1.353	3.11	0.07
1.354	3.08	0.07
1.355	3.06	0.06
1.356	3.06	0.06
1.357	3.07	0.07
1.358	3.06	0.07
1.359	3.05	0.07
1.360	3.06	0.06
1.361	3.06	0.06
1.362	3.06	0.06
1.363	3.07	0.06
1.364	3.09	0.06
1.365	3.11	0.06
1.366	3.13	0.05
1.367	3.16	0.05
1.368	3.17	0.05
1.369	3.19	0.06
1.370	3.22	0.06
1.371	3.25	0.06
1.372	3.27	0.06
1.373	3.29	0.06
1.374	3.30	0.05
1.375	3.30	0.05
1.376	3.31	0.05
1.377	3.32	0.06
1.378	3.31	0.06
1.379	3.31	0.06
1.380	3.31	0.06
1.381	3.32	0.06
1.382	3.31	0.06
1.383	3.29	0.07
1.384	3.29	0.07
1.385	3.27	0.07
1.386	3.24	0.08
1.387	3.23	0.08
1.388	3.23	0.08
1.389	3.23	0.08
1.390	3.21	0.07
1.391	3.19	0.07
1.392	3.18	0.07
1.393	3.18	0.07
1.394	3.18	0.07
1.395	3.19	0.07
1.396	3.18	0.07
1.397	3.17	0.08
1.398	3.16	0.08
1.399	3.16	0.08
1.400	3.17	0.08
1.401	3.17	0.08
1.402	3.17	0.08
1.403	3.17	0.07
1.404	3.19	0.07
1.405	3.21	0.07
1.406	3.23	0.07
1.407	3.24	0.07
1.408	3.24	0.07
1.409	3.22	0.06
1.410	3.21	0.06
1.411	3.22	0.07
1.412	3.23	0.07
1.413	3.23	0.07
1.414	3.20	0.08
1.415	3.20	0.08
1.416	3.18	0.08
1.417	3.17	0.08
1.418	3.18	0.08
1.419	3.19	0.08
1.420	3.18	0.08
1.421	3.17	0.08
1.422	3.17	0.09
1.423	3.17	0.08
1.424	3.17	0.08
1.425	3.16	0.07
1.426	3.15	0.06
1.427	3.15	0.06
1.428	3.15	0.06
1.429	3.15	0.06
1.430	3.15	0.06
1.431	3.13	0.06
1.432	3.12	0.06
1.433	3.11	0.06
1.434	3.09	0.05
1.435	3.09	0.05
1.436	3.09	0.05
1.437	3.09	0.06
1.438	3.09	0.06
1.439	3.09	0.06
1.440	3.09	0.06
1.441	3.08	0.06
1.442	3.08	0.06
1.443	3.07	0.06
1.444	3.07	0.06
1.445	3.06	0.06
1.446	3.07	0.06
1.447	3.07	0.06
1.448	3.08	0.06
1.449	3.09	0.06
1.450	3.11	0.06
1.451	3.14	0.06
1.452	3.17	0.06
1.453	3.22	0.06
1.454	3.24	0.06
1.455	3.27	0.06
1.456	3.26	0.06
1.457	3.25	0.06
1.458	3.26	0.06
1.459	3.27	0.06
1.460	3.27	0.06
1.461	3.28	0.06
1.462	3.29	0.07
1.463	3.28	0.07
1.464	3.27	0.07
1.465	3.26	0.07
1.466	3.24	0.08
1.467	3.23	0.08
1.468	3.22	0.08
1.469	3.21	0.08
1.470	3.20	0.07
1.471	3.19	0.07
1.472	3.18	0.06
1.473	3.17	0.06
1.474	3.17	0.06
1.475	3.15	0.06
1.476	3.14	0.06
1.477	3.13	0.06
1.478	3.11	0.06
1.479	3.11	0.06
1.480	3.11	0.06
1.481	3.09	0.06
1.482	3.09	0.06
1.483	3.08	0.06
1.484	3.08	0.06
1.485	3.07	0.07
1.486	3.07	0.06
1.487	3.06	0.06
1.488	3.07	0.06
1.489	3.09	0.06
1.490	3.10	0.06
1.491	3.12	0.06
1.492	3.13	0.06
1.493	3.15	0.06
1.494	3.16	0.06
1.495	3.17	0.07
1.496	3.18	0.07
1.497	3.21	0.07
1.498	3.22	0.07
1.499	3.22	0.07
1.500	3.21	0.07
1.501	3.21	0.08
1.502	3.21	0.08
1.503	3.22	0.08
1.504	3.22	0.07
1.505	3.22	0.07
1.506	3.22	0.07
1.507	3.21	0.07
1.508	3.21	0.07
1.509	3.21	0.07
1.510	3.20	0.07
1.511	3.19	0.06
1.512	3.18	0.06
1.513	3.17	0.06
1.514	3.16	0.06
1.515	3.15	0.06
1.516	3.15	0.06
1.517	3.15	0.06
1.518	3.15	0.07
1.519	3.14	0.07
1.520	3.15	0.07
1.521	3.14	0.07
1.522	3.16	0.07
1.523	3.16	0.07
1.524	3.16	0.07
1.525	3.17	0.08
1.526	3.17	0.08
1.527	3.18	0.07
1.528	3.17	0.07
1.529	3.21	0.07
1.530	3.21	0.07
1.531	3.24	0.07
1.532	3.24	0.07
1.533	3.26	0.06
1.534	3.27	0.06
1.535	3.27	0.05
1.536	3.28	0.05
1.537	3.29	0.06
1.538	3.29	0.06
1.539	3.28	0.06
1.540	3.27	0.06
1.541	3.28	0.06
1.542	3.27	0.06
1.543	3.27	0.06
1.544	3.27	0.06
1.545	3.26	0.07
1.546	3.25	0.07
1.547	3.26	0.07
1.548	3.25	0.08
1.549	3.24	0.07
1.550	3.21	0.07
1.551	3.18	0.07
1.552	3.19	0.07
1.553	3.20	0.07
1.554	3.20	0.06
1.555	3.20	0.06
1.556	3.20	0.06
1.557	3.19	0.06
1.558	3.16	0.05
1.559	3.14	0.05
1.560	3.13	0.05
1.561	3.13	0.05
1.562	3.13	0.06
1.563	3.13	0.05
1.564	3.12	0.05
1.565	3.12	0.06
1.566	3.12	0.06
1.567	3.13	0.06
1.568	3.14	0.06
1.569	3.15	0.06
1.570	3.16	0.06
1.571	3.17	0.06
1.572	3.18	0.06
1.573	3.19	0.06
1.574	3.20	0.06
1.575	3.22	0.06
1.576	3.20	0.06
1.577	3.20	0.06
1.578	3.23	0.06
1.579	3.23	0.06
1.580	3.22	0.07
1.581	3.21	0.07
1.582	3.20	0.07
1.583	3.18	0.07
1.584	3.17	0.07
1.585	3.16	0.07
1.586	3.16	0.07
1.587	3.17	0.07
1.588	3.18	0.07
1.589	3.18	0.07
1.590	3.18	0.07
1.591	3.20	0.07
1.592	3.19	0.07
1.593	3.17	0.07
1.594	3.15	0.07
1.595	3.15	0.07
1.596	3.16	0.07
1.597	3.16	0.07
1.598	3.15	0.07
1.599	3.14	0.06
1.600	3.14	0.06
1.601	3.13	0.07
1.602	3.13	0.07
1.603	3.12	0.08
1.604	3.12	0.08
1.605	3.11	0.08
1.606	3.11	0.08
1.607	3.11	0.07
1.608	3.11	0.06
1.609	3.11	0.06
1.610	3.11	0.06
1.611	3.11	0.06
1.612	3.11	0.05
1.613	3.11	0.05
1.614	3.11	0.05
1.615	3.11	0.05
1.616	3.11	0.05
1.617	3.11	0.06
1.618	3.12	0.06
1.619	3.13	0.05
1.620	3.13	0.05
1.621	3.14	0.05
1.622	3.14	0.05
1.623	3.14	0.06
1.624	3.16	0.05
1.625	3.17	0.05
1.626	3.17	0.05
1.627	3.16	0.05
1.628	3.15	0.05
1.629	3.14	0.05
1.630	3.12	0.06
1.631	3.12	0.06
1.632	3.12	0.06
1.633	3.12	0.06
1.634	3.13	0.06
1.635	3.14	0.07
1.636	3.15	0.08
1.637	3.16	0.08
1.638	3.16	0.07
1.639	3.17	0.07
1.640	3.18	0.07
1.641	3.18	0.07
1.642	3.18	0.07
1.643	3.19	0.07
1.644	3.20	0.07
1.645	3.20	0.07
1.646	3.20	0.07
1.647	3.21	0.07
1.648	3.21	0.07
1.649	3.22	0.07
1.650	3.22	0.08
1.651	3.22	0.08
1.652	3.23	0.07
1.653	3.23	0.07
1.654	3.24	0.07
1.655	3.25	0.06
1.656	3.25	0.06
1.657	3.26	0.06
1.658	3.27	0.06
1.659	3.27	0.06
1.660	3.28	0.06
1.661	3.30	0.06
1.662	3.30	0.06
1.663	3.30	0.06
1.664	3.30	0.06
1.665	3.31	0.06
1.666	3.29	0.06
1.667	3.29	0.06
1.668	3.26	0.06
1.669	3.24	0.06
1.670	3.22	0.06
1.671	3.22	0.07
1.672	3.23	0.08
1.673	3.21	0.07
1.674	3.21	0.07
1.675	3.21	0.07
1.676	3.20	0.06
1.677	3.19	0.06
1.678	3.19	0.06
1.679	3.18	0.06
1.680	3.18	0.06
1.681	3.18	0.06
1.682	3.19	0.06
1.683	3.17	0.06
1.684	3.17	0.06
1.685	3.18	0.06
1.686	3.17	0.06
1.687	3.16	0.06
1.688	3.17	0.05
1.689	3.16	0.05
1.690	3.14	0.05
1.691	3.13	0.06
1.692	3.13	0.06
1.693	3.13	0.07
1.694	3.14	0.07
1.695	3.16	0.08
1.696	3.17	0.07
1.697	3.18	0.08
1.698	3.19	0.08
1.699	3.20	0.09
1.700	3.20	0.08
1.701	3.20	0.08
1.702	3.21	0.08
1.703	3.22	0.08
1.704	3.21	0.07
1.705	3.21	0.07
1.706	3.20	0.06
1.707	3.19	0.06
1.708	3.20	0.05
1.709	3.20	0.05
1.710	3.21	0.05
1.711	3.20	0.05
1.712	3.19	0.05
1.713	3.18	0.06
1.714	3.17	0.06
1.715	3.16	0.06
1.716	3.15	0.06
1.717	3.14	0.06
1.718	3.14	0.07
1.719	3.13	0.07
1.720	3.15	0.07
1.721	3.16	0.07
1.722	3.16	0.07
1.723	3.17	0.08
1.724	3.16	0.07
1.725	3.16	0.07
1.726	3.17	0.07
1.727	3.17	0.07
1.728	3.18	0.07
1.729	3.18	0.07
1.730	3.19	0.07
1.731	3.19	0.06
1.732	3.18	0.06
1.733	3.18	0.06
1.734	3.18	0.06
1.735	3.16	0.06
1.736	3.15	0.07
1.737	3.12	0.07
1.738	3.10	0.07
1.739	3.10	0.08
1.740	3.11	0.08
1.741	3.13	0.07
1.742	3.17	0.05
1.743	3.19	0.05
1.744	3.20	0.05
1.745	3.21	0.06
1.746	3.22	0.07
1.747	3.22	0.07
1.748	3.23	0.07
1.749	3.22	0.08
1.750	3.21	0.07
1.751	3.21	0.06
1.752	3.20	0.07
1.753	3.18	0.08
1.754	3.20	0.07
1.755	3.21	0.07
1.756	3.19	0.07
1.757	3.19	0.07
1.758	3.19	0.07
1.759	3.19	0.07
1.760	3.18	0.06
1.761	3.20	0.06
1.762	3.21	0.06
1.763	3.19	0.06
1.764	3.17	0.06
1.765	3.15	0.06
1.766	3.13	0.06
1.767	3.13	0.06
1.768	3.12	0.06
1.769	3.11	0.06
1.770	3.11	0.06
1.771	3.10	0.06
1.772	3.09	0.06
1.773	3.07	0.06
1.774	3.06	0.06
1.775	3.06	0.06
1.776	3.06	0.06
1.777	3.06	0.06
1.778	3.05	0.06
1.779	3.06	0.06
1.780	3.08	0.05
1.781	3.10	0.05
1.782	3.11	0.05
1.783	3.12	0.05
1.784	3.13	0.05
1.785	3.14	0.05
1.786	3.16	0.05
1.787	3.17	0.05
1.788	3.19	0.05
1.789	3.21	0.06
1.790	3.22	0.06
1.791	3.20	0.07
1.792	3.23	0.07
1.793	3.22	0.07
1.794	3.22	0.07
1.795	3.21	0.06
1.796	3.20	0.06
1.797	3.21	0.06
1.798	3.22	0.07
1.799	3.21	0.07
1.800	3.19	0.06
1.801	3.17	0.06
1.802	3.16	0.06
1.803	3.14	0.06
1.804	3.15	0.06
1.805	3.14	0.06
1.806	3.14	0.06
1.807	3.14	0.06
1.808	3.13	0.06
1.809	3.13	0.06
1.810	3.12	0.06
1.811	3.13	0.06
1.812	3.12	0.06
1.813	3.14	0.06
1.814	3.15	0.06
1.815	3.15	0.06
1.816	3.16	0.06
1.817	3.18	0.06
1.818	3.20	0.06
1.819	3.18	0.06
1.820	3.17	0.06
1.821	3.16	0.06
1.822	3.13	0.06
1.823	3.12	0.06
1.824	3.12	0.06
1.825	3.11	0.05
1.826	3.11	0.05
1.827	3.09	0.05
1.828	3.08	0.06
1.829	3.10	0.05
1.830	3.08	0.06
1.831	3.08	0.06
1.832	3.08	0.06
1.833	3.12	0.05
1.834	3.11	0.05
1.835	3.11	0.05
1.836	3.12	0.06
1.837	3.13	0.06
1.838	3.12	0.06
1.839	3.10	0.06
1.840	3.10	0.06
1.841	3.11	0.06
1.842	3.10	0.06
1.843	3.08	0.06
1.844	3.05	0.05
1.845	3.06	0.05
1.846	3.06	0.05
1.847	3.07	0.05
1.848	3.09	0.04
1.849	3.09	0.04
1.850	3.11	0.05
1.851	3.11	0.05
1.852	3.13	0.05
1.853	3.14	0.05
1.854	3.15	0.05
1.855	3.14	0.05
1.856	3.16	0.05
1.857	3.17	0.05
1.858	3.18	0.05
1.859	3.18	0.06
1.860	3.18	0.06
1.861	3.20	0.05
1.862	3.19	0.05
1.863	3.19	0.05
1.864	3.17	0.05
1.865	3.17	0.06
1.866	3.16	0.06
1.867	3.15	0.06
1.868	3.14	0.06
1.869	3.14	0.06
1.870	3.13	0.06
1.871	3.14	0.05
1.872	3.12	0.05
1.873	3.11	0.05
1.874	3.07	0.06
1.875	3.10	0.06
1.876	3.10	0.06
1.877	3.11	0.06
1.878	3.10	0.06
1.879	3.10	0.06
1.880	3.11	0.05
1.881	3.11	0.05
1.882	3.11	0.05
1.883	3.11	0.05
1.884	3.12	0.05
1.885	3.11	0.05
1.886	3.11	0.05
1.887	3.10	0.06
1.888	3.11	0.05
1.889	3.11	0.05
1.890	3.11	0.05
1.891	3.12	0.05
1.892	3.12	0.05
1.893	3.13	0.05
1.894	3.11	0.05
1.895	3.12	0.05
1.896	3.12	0.05
1.897	3.13	0.05
1.898	3.15	0.05
1.899	3.12	0.06
1.900	3.13	0.07
1.901	3.13	0.07
1.902	3.14	0.07
1.903	3.13	0.06
1.904	3.12	0.06
1.905	3.13	0.07
1.906	3.13	0.07
1.907	3.11	0.07
1.908	3.10	0.07
1.909	3.10	0.07
1.910	3.08	0.07
1.911	3.08	0.07
1.912	3.08	0.07
1.913	3.09	0.07
1.914	3.10	0.07
1.915	3.10	0.07
1.916	3.09	0.07
1.917	3.08	0.07
1.918	3.07	0.07
1.919	3.07	0.07
1.920	3.07	0.07
1.921	3.06	0.06
1.922	3.06	0.06
1.923	3.05	0.06
1.924	3.04	0.06
1.925	3.05	0.06
1.926	3.05	0.06
1.927	3.05	0.06
1.928	3.05	0.06
1.929	3.06	0.06
1.930	3.05	0.06
1.931	3.04	0.06
1.932	3.04	0.06
1.933	3.05	0.06
1.934	3.04	0.06
1.935	3.05	0.06
1.936	3.07	0.06
1.937	3.07	0.06
1.938	3.07	0.06
1.939	3.07	0.06
1.940	3.06	0.06
1.941	3.10	0.06
1.942	3.10	0.06
1.943	3.11	0.06
1.944	3.12	0.06
1.945	3.13	0.06
1.946	3.15	0.06
1.947	3.16	0.06
1.948	3.16	0.06
1.949	3.16	0.06
1.950	3.18	0.06
1.951	3.18	0.05
1.952	3.17	0.05
1.953	3.16	0.05
1.954	3.15	0.05
1.955	3.15	0.05
1.956	3.15	0.05
1.957	3.17	0.06
1.958	3.16	0.06
1.959	3.15	0.06
1.960	3.14	0.07
1.961	3.12	0.08
1.962	3.10	0.08
1.963	3.10	0.07
1.964	3.10	0.07
1.965	3.10	0.06
1.966	3.11	0.06
1.967	3.11	0.06
1.968	3.11	0.06
1.969	3.11	0.07
1.970	3.11	0.07
1.971	3.10	0.06
1.972	3.09	0.06
1.973	3.08	0.06
1.974	3.07	0.06
1.975	3.06	0.06
1.976	3.06	0.06
1.977	3.06	0.05
1.978	3.06	0.05
1.979	3.06	0.05
1.980	3.06	0.05
1.981	3.06	0.05
1.982	3.05	0.05
1.983	3.05	0.05
1.984	3.06	0.05
1.985	3.06	0.05
1.986	3.07	0.05
1.987	3.06	0.05
1.988	3.06	0.05
1.989	3.06	0.05
1.990	3.07	0.05
1.991	3.05	0.05
1.992	3.06	0.05
1.993	3.08	0.06
1.994	3.07	0.06
1.995	3.09	0.06
1.996	3.09	0.06
1.997	3.08	0.06
1.998	3.08	0.06
1.999	3.09	0.06
2.000	3.09	0.05
2.001	3.09	0.05
2.002	3.10	0.05
2.003	3.09	0.05
2.004	3.10	0.05
2.005	3.11	0.05
2.006	3.11	0.05
2.007	3.11	0.06
2.008	3.11	0.06
2.009	3.11	0.06
2.010	3.09	0.06
2.011	3.08	0.07
2.012	3.08	0.07
2.013	3.07	0.07
2.014	3.08	0.07
2.015	3.07	0.07
2.016	3.07	0.07
2.017	3.06	0.07
2.018	3.07	0.07
2.019	3.05	0.07
2.020	3.04	0.06
2.021	3.05	0.06
2.022	3.06	0.07
2.023	3.05	0.07
2.024	3.04	0.06
2.025	3.04	0.06
2.026	3.05	0.06
2.027	3.05	0.06
2.028	3.06	0.06
2.029	3.07	0.05
2.030	3.08	0.05
2.031	3.08	0.05
2.032	3.09	0.05
2.033	3.08	0.06
2.034	3.08	0.06
2.035	3.09	0.06
2.036	3.08	0.05
2.037	3.08	0.05
2.038	3.08	0.05
2.039	3.08	0.06
2.040	3.08	0.05
2.041	3.09	0.05
2.042	3.08	0.06
2.043	3.11	0.05
2.044	3.10	0.06
2.045	3.10	0.06
2.046	3.10	0.06
2.047	3.09	0.06
2.048	3.08	0.06
2.049	3.08	0.06
2.050	3.08	0.07
2.051	3.09	0.07
2.052	3.09	0.07
2.053	3.09	0.07
2.054	3.09	0.07
2.055	3.10	0.08
2.056	3.10	0.08
2.057	3.11	0.08
2.058	3.11	0.08
2.059	3.12	0.08
2.060	3.13	0.08
2.061	3.14	0.08
2.062	3.15	0.08
2.063	3.15	0.07
2.064	3.16	0.07
2.065	3.18	0.07
2.066	3.20	0.07
2.067	3.23	0.07
2.068	3.23	0.07
2.069	3.24	0.07
2.070	3.24	0.06
2.071	3.24	0.06
2.072	3.25	0.07
2.073	3.26	0.07
2.074	3.23	0.06
2.075	3.25	0.06
2.076	3.23	0.06
2.077	3.23	0.06
2.078	3.21	0.06
2.079	3.22	0.05
2.080	3.21	0.06
2.081	3.21	0.06
2.082	3.21	0.06
2.083	3.20	0.06
2.084	3.20	0.06
2.085	3.20	0.06
2.086	3.19	0.06
2.087	3.18	0.06
2.088	3.16	0.06
2.089	3.16	0.06
2.090	3.16	0.06
2.091	3.14	0.06
2.092	3.14	0.06
2.093	3.14	0.07
2.094	3.13	0.07
2.095	3.13	0.07
2.096	3.14	0.07
2.097	3.15	0.07
2.098	3.15	0.07
2.099	3.14	0.07
2.100	3.14	0.06
2.101	3.14	0.06
2.102	3.14	0.06
2.103	3.14	0.06
2.104	3.14	0.06
2.105	3.14	0.05
2.106	3.13	0.05
2.107	3.14	0.06
2.108	3.14	0.05
2.109	3.13	0.05
2.110	3.12	0.05
2.111	3.12	0.05
2.112	3.10	0.05
2.113	3.10	0.05
2.114	3.10	0.05
2.115	3.10	0.05
2.116	3.12	0.06
2.117	3.12	0.06
2.118	3.11	0.06
2.119	3.11	0.06
2.120	3.10	0.06
2.121	3.09	0.06
2.122	3.08	0.06
2.123	3.07	0.05
2.124	3.07	0.05
2.125	3.08	0.05
2.126	3.08	0.05
2.127	3.07	0.05
2.128	3.06	0.05
2.129	3.04	0.06
2.130	3.03	0.06
2.131	3.02	0.06
2.132	3.01	0.06
2.133	3.01	0.06
2.134	3.01	0.07
2.135	3.01	0.07
2.136	3.02	0.07
2.137	3.02	0.07
2.138	3.01	0.07
2.139	3.01	0.07
2.140	3.03	0.07
2.141	3.05	0.07
2.142	3.07	0.07
2.143	3.09	0.07
2.144	3.11	0.08
2.145	3.14	0.08
2.146	3.15	0.08
2.147	3.16	0.08
2.148	3.16	0.08
2.149	3.16	0.08
2.150	3.17	0.08
2.151	3.17	0.07
2.152	3.20	0.07
2.153	3.20	0.07
2.154	3.21	0.07
2.155	3.22	0.07
2.156	3.19	0.07
2.157	3.19	0.07
2.158	3.17	0.07
2.159	3.19	0.08
2.160	3.19	0.08
2.161	3.18	0.08
2.162	3.18	0.09
2.163	3.18	0.08
2.164	3.17	0.08
2.165	3.17	0.08
2.166	3.16	0.08
2.167	3.14	0.08
2.168	3.14	0.08
2.169	3.13	0.08
2.170	3.13	0.08
2.171	3.12	0.08
2.172	3.11	0.08
2.173	3.11	0.08
2.174	3.10	0.08
2.175	3.09	0.08
2.176	3.09	0.07
2.177	3.08	0.07
2.178	3.07	0.06
2.179	3.08	0.06
2.180	3.09	0.06
2.181	3.08	0.06
2.182	3.06	0.05
2.183	3.08	0.06
2.184	3.08	0.06
2.185	3.08	0.05
2.186	3.08	0.05
2.187	3.08	0.06
2.188	3.08	0.06
2.189	3.08	0.06
2.190	3.08	0.06
2.191	3.09	0.06
2.192	3.08	0.06
2.193	3.07	0.06
2.194	3.07	0.06
2.195	3.09	0.06
2.196	3.11	0.07
2.197	3.11	0.06
2.198	3.12	0.07
2.199	3.11	0.07
2.200	3.10	0.07
2.201	3.08	0.08
2.202	3.09	0.07
2.203	3.09	0.07
2.204	3.08	0.07
2.205	3.07	0.06
2.206	3.06	0.06
2.207	3.07	0.06
2.208	3.06	0.06
2.209	3.06	0.06
2.210	3.08	0.06
2.211	3.07	0.05
2.212	3.07	0.05
2.213	3.07	0.05
2.214	3.07	0.05
2.215	3.09	0.06
2.216	3.09	0.06
2.217	3.05	0.05
2.218	3.06	0.06
2.219	3.08	0.06
2.220	3.06	0.06
2.221	3.05	0.06
2.222	3.07	0.06
2.223	3.07	0.06
2.224	3.07	0.06
2.225	3.06	0.06
2.226	3.05	0.06
2.227	3.04	0.05
2.228	3.02	0.05
2.229	3.04	0.06
2.230	3.04	0.05
2.231	3.04	0.05
2.232	3.04	0.05
2.233	3.04	0.05
2.234	3.05	0.05
2.235	3.06	0.06
2.236	3.07	0.06
2.237	3.08	0.06
2.238	3.09	0.06
2.239	3.11	0.06
2.240	3.10	0.06
2.241	3.12	0.06
2.242	3.11	0.06
2.243	3.12	0.06
2.244	3.13	0.06
2.245	3.14	0.06
2.246	3.13	0.06
2.247	3.12	0.06
2.248	3.13	0.06
2.249	3.13	0.06
2.250	3.12	0.05
2.251	3.13	0.06
2.252	3.11	0.05
2.253	3.11	0.06
2.254	3.11	0.06
2.255	3.10	0.06
2.256	3.10	0.06
2.257	3.09	0.06
2.258	3.09	0.06
2.259	3.09	0.06
2.260	3.07	0.06
2.261	3.06	0.05
2.262	3.05	0.05
2.263	3.04	0.05
2.264	3.04	0.05
2.265	3.04	0.05
2.266	3.03	0.05
2.267	3.02	0.05
2.268	3.03	0.05
2.269	3.03	0.05
2.270	3.03	0.05
2.271	3.04	0.05
2.272	3.04	0.05
2.273	3.05	0.05
2.274	3.04	0.05
2.275	3.05	0.05
2.276	3.06	0.05
2.277	3.07	0.05
2.278	3.08	0.06
2.279	3.09	0.06
2.280	3.08	0.06
2.281	3.07	0.06
2.282	3.07	0.06
2.283	3.07	0.06
2.284	3.07	0.06
2.285	3.07	0.06
2.286	3.07	0.06
2.287	3.07	0.06
2.288	3.05	0.06
2.289	3.05	0.06
2.290	3.07	0.06
2.291	3.04	0.06
2.292	3.03	0.06
2.293	3.03	0.05
2.294	3.04	0.05
2.295	3.03	0.05
2.296	3.03	0.05
2.297	3.03	0.05
2.298	3.03	0.05
2.299	3.03	0.05
2.300	3.03	0.05
2.301	3.03	0.05
2.302	3.03	0.05
2.303	3.03	0.05
2.304	3.04	0.06
2.305	3.04	0.06
2.306	3.05	0.05
2.307	3.05	0.06
2.308	3.05	0.06
2.309	3.05	0.05
2.310	3.05	0.05
2.311	3.07	0.05
2.312	3.07	0.06
2.313	3.07	0.06
2.314	3.10	0.05
2.315	3.09	0.05
2.316	3.08	0.06
2.317	3.07	0.05
2.318	3.07	0.05
2.319	3.07	0.05
2.320	3.05	0.05
2.321	3.05	0.05
2.322	3.06	0.05
2.323	3.03	0.05
2.324	3.04	0.05
