Age	d18OT	sigma
0.437	4.04	0.14
0.438	4.06	0.14
0.439	4.06	0.14
0.440	4.04	0.14
0.441	4.04	0.14
0.442	4.03	0.14
0.443	4.05	0.14
0.444	4.06	0.14
0.445	4.05	0.14
0.446	4.07	0.14
0.447	4.08	0.14
0.448	4.07	0.14
0.449	4.05	0.14
0.450	4.04	0.14
0.451	4.02	0.13
0.452	4.04	0.13
0.453	4.08	0.13
0.454	4.09	0.13
0.455	4.09	0.12
0.456	4.11	0.12
0.457	4.12	0.13
0.458	4.09	0.11
0.459	4.10	0.12
0.460	4.14	0.12
0.461	4.17	0.13
0.462	4.17	0.12
0.463	4.16	0.12
0.464	4.13	0.12
0.465	4.12	0.13
0.466	4.13	0.13
0.467	4.12	0.13
0.468	4.10	0.13
0.469	4.08	0.13
0.470	4.05	0.13
0.471	4.08	0.14
0.472	4.01	0.13
0.473	3.98	0.13
0.474	3.94	0.13
0.475	3.91	0.13
0.476	3.90	0.13
0.477	3.88	0.14
0.478	3.86	0.14
0.479	3.82	0.15
0.480	3.80	0.14
0.481	3.81	0.13
0.482	3.77	0.13
0.483	3.70	0.14
0.484	3.71	0.13
0.485	3.72	0.13
0.486	3.73	0.13
0.487	3.72	0.13
0.488	3.70	0.13
0.489	3.65	0.13
0.490	3.59	0.13
0.491	3.57	0.13
0.492	3.57	0.13
0.493	3.57	0.13
0.494	3.55	0.13
0.495	3.56	0.13
0.496	3.54	0.14
0.497	3.52	0.13
0.498	3.52	0.11
0.499	3.51	0.11
0.500	3.52	0.11
0.501	3.54	0.11
0.502	3.55	0.11
0.503	3.56	0.11
0.504	3.57	0.10
0.505	3.59	0.11
0.506	3.61	0.11
0.507	3.63	0.12
0.508	3.65	0.12
0.509	3.70	0.13
0.510	3.67	0.15
0.511	3.67	0.15
0.512	3.68	0.15
0.513	3.69	0.15
0.514	3.70	0.16
0.515	3.71	0.16
0.516	3.72	0.15
0.517	3.69	0.16
0.518	3.71	0.16
0.519	3.70	0.16
0.520	3.70	0.16
0.521	3.71	0.16
0.522	3.70	0.16
0.523	3.68	0.15
0.524	3.69	0.16
0.525	3.70	0.16
0.526	3.70	0.17
0.527	3.72	0.16
0.528	3.74	0.16
0.529	3.72	0.16
0.530	3.76	0.15
0.531	3.77	0.14
0.532	3.77	0.13
0.533	3.81	0.13
0.534	3.84	0.13
0.535	3.86	0.12
0.536	3.87	0.12
0.537	3.88	0.13
0.538	3.89	0.13
0.539	3.91	0.14
0.540	3.91	0.15
