Age	OcnTemp	sigma
0.404	0.5	0.77
0.405	0.25	0.59
0.406	0.16	0.51
0.407	0.2	0.47
0.408	0.17	0.44
0.409	0.29	0.48
0.41	0.12	0.41
0.411	-0.11	0.38
0.412	-0.12	0.40
0.413	0.03	0.49
0.414	-0.2	0.42
0.415	-0.09	0.51
0.416	-0.18	0.52
0.417	-0.82	0.46
0.418	-0.96	0.51
0.419	-1.16	0.54
0.42	-1.57	0.60
0.421	-1.88	0.66
0.422	-2.11	0.63
0.423	-2.3	0.63
0.424	-2.52	0.67
0.425	-2.63	0.69
0.426	-2.76	0.69
0.427	-2.86	0.68
0.428	-3.01	0.68
0.429	-2.9	0.64
0.43	-2.88	0.60
0.431	-3.12	0.62
0.432	-3.2	0.65
0.433	-3.28	0.62
0.434	-3.33	0.61
0.435	-3.38	0.60
0.436	-3.24	0.61
0.437	-3.43	0.55
0.438	-3.52	0.56
0.439	-3.53	0.57
0.44	-3.43	0.55
0.441	-3.43	0.55
0.442	-3.39	0.56
0.443	-3.47	0.55
0.444	-3.52	0.55
0.445	-3.5	0.55
0.446	-3.56	0.55
0.447	-3.58	0.54
0.448	-3.56	0.55
0.449	-3.48	0.54
0.45	-3.43	0.56
0.451	-3.36	0.54
0.452	-3.43	0.53
0.453	-3.59	0.53
0.454	-3.62	0.53
0.455	-3.65	0.47
0.456	-3.71	0.50
0.457	-3.74	0.51
0.458	-3.66	0.44
0.459	-3.69	0.46
0.46	-3.84	0.48
0.461	-3.96	0.51
0.462	-3.97	0.48
0.463	-3.91	0.50
0.464	-3.79	0.50
0.465	-3.76	0.50
0.466	-3.8	0.51
0.467	-3.74	0.51
0.468	-3.67	0.52
0.469	-3.61	0.53
0.47	-3.48	0.53
0.471	-3.61	0.57
0.472	-3.32	0.53
0.473	-3.2	0.51
0.474	-3.05	0.50
0.475	-2.91	0.52
0.476	-2.87	0.52
0.477	-2.81	0.54
0.478	-2.72	0.55
0.479	-2.54	0.59
0.48	-2.49	0.54
0.481	-2.53	0.54
0.482	-2.36	0.53
0.483	-2.08	0.55
0.484	-2.13	0.52
0.485	-2.17	0.51
0.486	-2.19	0.52
0.487	-2.17	0.53
0.488	-2.09	0.53
0.489	-1.89	0.52
0.49	-1.64	0.52
0.491	-1.57	0.53
0.492	-1.57	0.51
0.493	-1.54	0.51
0.494	-1.48	0.54
0.495	-1.53	0.54
0.496	-1.46	0.56
0.497	-1.37	0.50
0.498	-1.35	0.44
0.499	-1.3	0.44
0.5	-1.36	0.43
0.501	-1.44	0.43
0.502	-1.49	0.43
0.503	-1.52	0.42
0.504	-1.58	0.42
0.505	-1.65	0.43
0.506	-1.72	0.45
0.507	-1.81	0.47
0.508	-1.91	0.50
0.509	-2.1	0.53
0.51	-2	0.58
0.511	-1.99	0.59
0.512	-2.01	0.61
0.513	-2.06	0.61
0.514	-2.1	0.62
0.515	-2.14	0.63
0.516	-2.18	0.61
0.517	-2.09	0.63
0.518	-2.14	0.62
0.519	-2.1	0.65
0.52	-2.13	0.65
0.521	-2.15	0.65
0.522	-2.11	0.63
0.523	-2.07	0.62
0.524	-2.09	0.63
0.525	-2.15	0.65
0.526	-2.14	0.68
0.527	-2.2	0.66
0.528	-2.3	0.65
0.529	-2.22	0.62
0.53	-2.38	0.61
0.531	-2.45	0.55
0.532	-2.44	0.52
0.533	-2.62	0.51
0.534	-2.72	0.50
0.535	-2.82	0.49
0.536	-2.88	0.49
0.537	-2.91	0.50
0.538	-2.95	0.52
0.539	-3.04	0.55
0.54	-3.02	0.58
0.541	-3.13	0.57
0.542	-3.15	0.58
0.543	-2.92	0.57
0.544	-3	0.55
0.545	-2.86	0.53
0.546	-2.73	0.51
0.547	-2.7	0.50
0.548	-2.65	0.50
0.549	-2.66	0.49
0.55	-2.62	0.48
0.551	-2.62	0.48
0.552	-2.57	0.46
0.553	-2.47	0.45
0.554	-2.3	0.46
0.555	-2.37	0.45
0.556	-2.36	0.45
0.557	-2.4	0.44
0.558	-2.23	0.45
0.559	-2.23	0.45
0.56	-2.07	0.46
0.561	-2.09	0.45
0.562	-2.01	0.45
0.563	-1.94	0.45
0.564	-1.81	0.45
0.565	-1.64	0.45
0.566	-1.54	0.45
0.567	-1.41	0.46
0.568	-1.38	0.43
0.569	-1.48	0.39
0.57	-1.48	0.38
0.571	-1.5	0.39
0.572	-1.47	0.41
0.573	-1.27	0.41
0.574	-1.17	0.41
0.575	-1.07	0.40
0.576	-1.06	0.40
0.577	-1.07	0.40
0.578	-1.16	0.40
0.579	-1.21	0.41
0.58	-1.36	0.43
0.581	-1.53	0.47
0.582	-1.54	0.47
0.583	-1.51	0.49
0.584	-1.35	0.45
0.585	-1.36	0.47
0.586	-1.36	0.48
0.587	-1.42	0.50
0.588	-1.47	0.51
0.589	-1.41	0.52
0.59	-1.28	0.54
0.591	-1.33	0.54
0.592	-1.52	0.60
0.593	-1.45	0.54
0.594	-1.31	0.49
0.595	-1.15	0.45
0.596	-1	0.43
0.597	-1.01	0.41
0.598	-1.08	0.42
0.599	-1.05	0.42
0.6	-1.05	0.44
0.601	-0.86	0.43
0.602	-0.85	0.42
0.603	-0.76	0.42
0.604	-0.74	0.43
0.605	-0.68	0.44
0.606	-0.64	0.44
0.607	-0.64	0.44
0.608	-0.75	0.42
0.609	-0.85	0.42
0.61	-0.86	0.43
0.611	-0.93	0.44
0.612	-0.99	0.44
0.613	-1.01	0.44
0.614	-1.09	0.46
0.615	-1.2	0.48
0.616	-1.38	0.56
0.617	-1.49	0.51
0.618	-1.45	0.50
0.619	-1.55	0.50
0.62	-1.62	0.51
0.621	-1.72	0.51
0.622	-1.89	0.52
0.623	-2.05	0.53
0.624	-2.27	0.54
0.625	-2.47	0.57
0.626	-2.58	0.59
0.627	-2.65	0.59
0.628	-2.74	0.62
0.629	-2.84	0.59
0.63	-2.89	0.55
0.631	-2.92	0.53
0.632	-2.89	0.52
0.633	-2.86	0.51
0.634	-2.88	0.51
0.635	-2.86	0.53
0.636	-2.84	0.53
0.637	-2.9	0.53
0.638	-2.75	0.54
0.639	-2.74	0.54
0.64	-2.68	0.55
0.641	-2.65	0.56
0.642	-2.65	0.59
0.643	-2.53	0.61
0.644	-2.51	0.64
0.645	-2.26	0.60
0.646	-2.43	0.54
0.647	-2.45	0.53
0.648	-2.43	0.52
0.649	-2.47	0.51
0.65	-2.56	0.50
0.651	-2.52	0.47
0.652	-2.76	0.49
0.653	-2.63	0.48
0.654	-2.57	0.48
0.655	-2.53	0.48
0.656	-2.41	0.49
0.657	-2.42	0.48
0.658	-2.52	0.47
0.659	-2.56	0.46
0.66	-2.57	0.47
0.661	-2.6	0.48
0.662	-2.63	0.48
0.663	-2.67	0.48
0.664	-2.64	0.46
0.665	-2.61	0.45
0.666	-2.56	0.48
0.667	-2.63	0.49
0.668	-2.63	0.53
0.669	-2.73	0.53
0.67	-2.73	0.54
0.671	-2.75	0.54
0.672	-2.76	0.54
0.673	-2.87	0.54
0.674	-2.77	0.52
0.675	-2.64	0.51
0.676	-2.67	0.48
0.677	-2.52	0.47
0.678	-2.44	0.47
0.679	-2.38	0.48
0.68	-2.37	0.49
0.681	-2.32	0.50
0.682	-2.22	0.48
0.683	-2	0.48
0.684	-2	0.48
0.685	-2.12	0.50
0.686	-2.14	0.53
0.687	-1.84	0.48
0.688	-1.54	0.46
0.689	-1.04	0.49
0.69	-1.02	0.48
0.691	-1.15	0.49
0.692	-1.15	0.49
0.693	-0.92	0.47
0.694	-1.45	0.61
0.695	-1.42	0.62
0.696	-1.43	0.61
0.697	-1.39	0.57
0.698	-1.22	0.55
0.699	-1.12	0.53
0.7	-1.02	0.52
0.701	-1.04	0.52
0.702	-1.02	0.52
0.703	-1.18	0.58
0.704	-1.07	0.51
0.705	-0.94	0.48
0.706	-0.92	0.43
0.707	-1.01	0.42
0.708	-1.24	0.43
0.709	-1.38	0.46
0.71	-1.56	0.49
0.711	-1.74	0.52
0.712	-2.08	0.56
0.713	-2.19	0.52
0.714	-2.31	0.48
0.715	-2.8	0.50
0.716	-2.76	0.48
0.717	-2.81	0.48
0.718	-2.83	0.48
0.719	-2.85	0.47
0.72	-2.82	0.46
0.721	-2.77	0.45
0.722	-2.74	0.45
0.723	-2.63	0.44
0.724	-2.59	0.45
0.725	-2.54	0.47
0.726	-2.6	0.49
0.727	-2.63	0.49
0.728	-2.61	0.50
0.729	-2.53	0.51
0.73	-2.44	0.52
0.731	-2.31	0.53
0.732	-2.26	0.52
0.733	-2.3	0.50
0.734	-2.22	0.50
0.735	-2.18	0.51
0.736	-2.05	0.51
0.737	-1.97	0.51
0.738	-1.94	0.49
0.739	-1.95	0.48
0.74	-2.01	0.46
0.741	-2.11	0.45
0.742	-2.2	0.45
0.743	-2.25	0.45
0.744	-2.35	0.46
0.745	-2.42	0.47
0.746	-2.58	0.43
0.747	-2.66	0.40
0.748	-2.6	0.37
0.749	-2.46	0.35
0.75	-2.36	0.33
0.751	-2.32	0.31
0.752	-2.33	0.29
0.753	-2.38	0.31
0.754	-2.34	0.31
0.755	-2.4	0.35
0.756	-2.25	0.33
0.757	-2.43	0.35
0.758	-2.39	0.40
0.759	-2.54	0.45
0.76	-2.33	0.40
0.761	-2.14	0.36
0.762	-1.96	0.38
0.763	-2	0.38
0.764	-1.88	0.35
0.765	-2.01	0.38
0.766	-1.98	0.37
0.767	-1.99	0.38
0.768	-1.98	0.39
0.769	-2.04	0.40
0.77	-2.09	0.40
0.771	-2.06	0.42
0.772	-1.98	0.46
0.773	-1.91	0.47
0.774	-1.8	0.47
0.775	-1.68	0.45
0.776	-1.49	0.43
0.777	-1.38	0.40
0.778	-1.14	0.40
0.779	-1.34	0.41
0.78	-1.17	0.38
0.781	-1	0.37
0.782	-0.89	0.33
0.783	-0.84	0.33
0.784	-0.92	0.30
0.785	-1.13	0.32
0.786	-1.35	0.37
0.787	-1.52	0.36
0.788	-1.7	0.36
0.789	-2.03	0.38
0.79	-2.34	0.41
0.791	-2.61	0.44
0.792	-2.69	0.40
0.793	-3.12	0.42
0.794	-3.67	0.48
0.795	-3.83	0.45
0.796	-3.95	0.48
0.797	-3.9	0.47
0.798	-3.62	0.43
0.799	-3.81	0.45
0.8	-3.73	0.43
0.801	-4.01	0.48
0.802	-3.85	0.44
0.803	-3.85	0.45
0.804	-3.8	0.44
0.805	-3.9	0.41
0.806	-3.84	0.40
0.807	-3.73	0.41
0.808	-3.6	0.41
0.809	-3.52	0.41
0.81	-3.13	0.36
0.811	-2.79	0.37
0.812	-2.67	0.38
0.813	-2.67	0.39
0.814	-2.58	0.41
0.815	-2.55	0.39
0.816	-2.52	0.37
0.817	-2.51	0.40
0.818	-2.47	0.44
0.819	-2.31	0.44
0.82	-2.13	0.43
0.821	-2.07	0.41
0.822	-1.97	0.40
0.823	-1.92	0.38
0.824	-1.94	0.40
0.825	-1.99	0.42
0.826	-2.03	0.44
0.827	-2.02	0.45
0.828	-2.1	0.47
0.829	-2.11	0.47
0.83	-2.14	0.47
0.831	-1.98	0.47
0.832	-1.96	0.46
0.833	-1.79	0.46
0.834	-1.7	0.43
0.835	-1.73	0.42
0.836	-1.66	0.41
0.837	-1.68	0.41
0.838	-1.62	0.41
0.839	-1.6	0.39
0.84	-1.53	0.37
0.841	-1.41	0.35
0.842	-1.23	0.33
0.843	-1.2	0.32
0.844	-1.04	0.32
0.845	-1.03	0.32
0.846	-1.03	0.31
0.847	-1.07	0.31
0.848	-1.1	0.31
0.849	-1.19	0.34
0.85	-1.24	0.36
0.851	-1.51	0.39
0.852	-1.42	0.37
0.853	-1.23	0.36
0.854	-1.07	0.35
0.855	-0.93	0.36
0.856	-0.9	0.37
0.857	-0.78	0.39
0.858	-0.76	0.40
0.859	-0.83	0.38
0.86	-0.86	0.37
0.861	-1.1	0.38
0.862	-1.42	0.38
0.863	-1.69	0.39
0.864	-1.97	0.40
0.865	-2.34	0.42
0.866	-2.53	0.41
0.867	-2.79	0.40
0.868	-2.79	0.40
0.869	-2.98	0.37
0.87	-3.03	0.38
0.871	-3.17	0.36
0.872	-3.29	0.36
0.873	-3.3	0.37
0.874	-3.35	0.38
0.875	-3.24	0.36
0.876	-3.22	0.31
0.877	-3.19	0.30
0.878	-3.1	0.32
0.879	-3.32	0.38
0.88	-3.38	0.40
0.881	-3.66	0.41
0.882	-3.56	0.41
0.883	-3.6	0.39
0.884	-3.64	0.38
0.885	-3.72	0.38
0.886	-3.7	0.38
0.887	-3.52	0.39
0.888	-3.61	0.38
0.889	-3.38	0.35
0.89	-3.28	0.33
0.891	-3.05	0.33
0.892	-3.01	0.33
0.893	-2.97	0.32
0.894	-2.91	0.32
0.895	-2.88	0.32
0.896	-2.89	0.32
0.897	-2.87	0.31
0.898	-2.83	0.31
0.899	-2.7	0.30
0.9	-2.6777666756	0.30
0.901	-2.545750017	0.30
0.902	-2.493750025	0.30
0.903	-2.3322000312	0.31
0.904	-2.250583371	0.31
0.905	-2.2586500454	0.30
0.906	-2.2368750525	0.30
0.907	-2.2548667272	0.30
