Time	d18O	d18Ostd	d18O_lo	d18O_up
166.0	4.5256554	0.10700207	4.7353795	4.3159313
167.0	4.4943358	0.24085437	4.9664103	4.0222612
168.0	4.5426565	0.11190601	4.7619923	4.3233207
169.0	4.503482	0.11967012	4.7380355	4.2689286
170.0	4.4205111	0.23292373	4.8770416	3.9639806
171.0	4.4500768	0.1307606	4.7063676	4.193786
172.0	4.4696667	0.084707494	4.6356934	4.30364
173.0	4.4236614	0.10233863	4.6242451	4.2230777
174.0	4.3764743	0.17684547	4.7230914	4.0298571
175.0	4.3394817	0.14512757	4.6239318	4.0550317
176.0	4.3186917	0.24216454	4.7933342	3.8440492
177.0	4.3817038	0.18786841	4.7499259	4.0134817
178.0	4.3157504	0.22487063	4.7564968	3.8750039
179.0	4.2723363	0.29628746	4.8530598	3.6916129
180.0	4.4124753	0.14206142	4.6909157	4.1340349
181.0	4.4241631	0.08666121	4.5940191	4.2543072
182.0	4.4210179	0.072260782	4.5626491	4.2793868
183.0	4.4143394	0.13200271	4.6730647	4.155614
184.0	4.4460981	0.12746799	4.6959354	4.1962609
185.0	4.4892264	0.31091575	5.0986212	3.8798315
186.0	4.4915392	0.098647284	4.6848879	4.2981905
187.0	4.4729704	0.12928323	4.7263655	4.2195752
188.0	4.3520464	0.17837146	4.7016545	4.0024384
189.0	4.2693155	0.14379441	4.5511525	3.9874784
190.0	4.1584264	0.20136983	4.5531113	3.7637415
191.0	4.1689333	0.25634279	4.6713652	3.6665015
192.0	4.1081699	0.2677507	4.6329613	3.5833785
193.0	4.0666607	0.30429641	4.6630817	3.4702397
194.0	4.0108643	0.17367553	4.3512683	3.6704602
195.0	3.9912906	0.19438315	4.3722815	3.6102996
196.0	3.8881291	0.1580216	4.1978514	3.5784067
197.0	3.7712031	0.13889716	4.0434416	3.4989647
198.0	3.7627414	0.23323921	4.2198902	3.3055926
199.0	3.5979019	0.16426262	3.9198566	3.2759471
200.0	3.7534369	0.38965814	4.5171669	2.989707
201.0	3.5166265	0.14611852	3.8030188	3.2302342
202.0	3.5302522	0.17662194	3.8764312	3.1840732
203.0	3.7095195	0.25137084	4.2022063	3.2168326
204.0	3.7244138	0.27064759	4.2548831	3.1939445
205.0	3.7799031	0.30516288	4.3780223	3.1817838
206.0	3.7244031	0.20577409	4.1277203	3.3210859
207.0	3.8204181	0.24972803	4.309885	3.3309511
208.0	3.7069767	0.089690161	3.8827695	3.531184
209.0	3.7672824	0.19232339	4.1442363	3.3903286
210.0	3.6384858	0.12705453	3.8875127	3.3894589
211.0	3.5447632	0.090437716	3.7220211	3.3675053
212.0	3.6688351	0.42017174	4.4923717	2.8452985
213.0	3.6006692	0.29547076	4.1797918	3.0215465
214.0	3.4837533	0.16652222	3.8101369	3.1573698
215.0	3.5786849	0.32529013	4.2162536	2.9411162
216.0	3.5300459	0.11257114	3.7506853	3.3094064
217.0	3.5509978	0.222711	3.9875114	3.1144843
218.0	3.7562392	0.25930389	4.2644748	3.2480035
219.0	4.0553863	0.39600786	4.8315617	3.2792109
220.0	4.0530658	0.43735515	4.9102819	3.1958498
221.0	4.1659001	0.38472922	4.9199693	3.4118308
222.0	4.3068358	0.22944627	4.7565505	3.8571211
223.0	4.4102074	0.14746423	4.6992373	4.1211775
224.0	4.4286722	0.13626084	4.6957434	4.161601
225.0	4.2922638	0.27820017	4.8375362	3.7469915
226.0	4.3446865	0.17471932	4.6871363	4.0022366
227.0	4.2477093	0.15891686	4.5591863	3.9362322
228.0	4.2631305	0.17258297	4.6013932	3.9248679
229.0	4.0992442	0.32271468	4.731765	3.4667235
230.0	4.168175	0.16577842	4.4931007	3.8432493
231.0	4.1296619	0.18241211	4.4871896	3.7721341
232.0	4.0336136	0.26100116	4.5451759	3.5220514
233.0	3.9442795	0.26559278	4.4648414	3.4237177
234.0	3.8736499	0.20142415	4.2684413	3.4788586
235.0	3.684984	0.16649594	4.0113161	3.358652
236.0	3.7254671	0.31819195	4.3491233	3.1018109
237.0	3.4844896	0.10218873	3.6847795	3.2841997
238.0	3.5203267	0.22560578	3.962514	3.0781394
239.0	3.4135552	0.14471776	3.697202	3.1299084
240.0	3.3685529	0.23459763	3.8283642	2.9087415
241.0	3.7048971	0.49798169	4.6809412	2.728853
242.0	3.6395564	0.3600383	4.3452315	2.9338814
243.0	3.8458262	0.38207226	4.5946878	3.0969645
244.0	4.0413443	0.32714589	4.6825503	3.4001384
245.0	4.2433232	0.24610594	4.7256908	3.7609555
246.0	4.3470683	0.096697432	4.5365953	4.1575414
247.0	4.2293126	0.38558139	4.9850521	3.4735731
248.0	4.4557261	0.17381639	4.7964062	4.115046
249.0	4.5258239	0.1720382	4.8630187	4.188629
250.0	4.6055551	0.26293475	5.1209072	4.090203
251.0	4.6305257	0.25868249	5.1375434	4.1235081
252.0	4.6142249	0.22017479	5.0457675	4.1826824
253.0	4.5519964	0.16580882	4.8769817	4.2270111
254.0	4.5550747	0.13120057	4.8122278	4.2979216
255.0	4.4093777	0.30465526	5.0065021	3.8122534
256.0	4.4879067	0.17619781	4.8332544	4.142559
257.0	4.4753679	0.12412978	4.7186623	4.2320735
258.0	4.420738	0.1760626	4.7658207	4.0756554
259.0	4.4783074	0.1055208	4.6851282	4.2714867
260.0	4.4184125	0.11407786	4.6420051	4.1948199
261.0	4.4101153	0.1014714	4.6089993	4.2112314
262.0	4.4047109	0.13128383	4.6620272	4.1473946
263.0	4.4178618	0.32985486	5.0643774	3.7713463
264.0	4.3862066	0.24303834	4.8625618	3.9098515
265.0	4.4103779	0.30914633	5.0163047	3.8044511
266.0	4.484242	0.17901087	4.8351033	4.1333807
267.0	4.5251893	0.11640393	4.753341	4.2970376
268.0	4.428714	0.28196554	4.9813664	3.8760615
269.0	4.4894286	0.10376179	4.6928017	4.2860555
270.0	4.5712989	0.11921624	4.8049627	4.3376351
271.0	4.5268229	0.18017071	4.8799575	4.1736883
272.0	4.4158604	0.28543145	4.9753061	3.8564148
273.0	4.5095469	0.11847342	4.7417548	4.277339
274.0	4.463152	0.088570719	4.6367506	4.2895534
275.0	4.407663	0.1556072	4.7126531	4.1026729
276.0	4.2954956	0.21119396	4.7094357	3.8815554
277.0	4.3192037	0.10685917	4.5286477	4.1097597
278.0	4.2761353	0.17689079	4.6228412	3.9294293
279.0	4.3310299	0.15312623	4.6311573	4.0309025
280.0	4.2570361	0.21772975	4.6837864	3.8302858
281.0	4.0940059	0.17315707	4.4333937	3.754618
282.0	4.0633544	0.15861514	4.3742401	3.7524687
283.0	3.917464	0.13725883	4.1864913	3.6484367
284.0	3.8368737	0.1428792	4.116917	3.5568305
285.0	3.8144988	0.10121249	4.0128753	3.6161223
286.0	3.7843446	0.10859462	3.9971901	3.5714992
287.0	3.8197525	0.15744913	4.1283528	3.5111522
288.0	3.8367862	0.18661773	4.202557	3.4710155
289.0	3.9154726	0.13500823	4.1800887	3.6508564
290.0	4.009853	0.22241171	4.44578	3.5739261
291.0	4.1262826	0.11813943	4.3578358	3.8947293
292.0	4.2211887	0.19123269	4.5960048	3.8463726
293.0	4.2040159	0.23958008	4.6735928	3.7344389
294.0	4.2881483	0.13343462	4.5496801	4.0266164
295.0	4.3496078	0.12115015	4.5870621	4.1121535
296.0	4.260527	0.24836746	4.7473273	3.7737268
297.0	4.3435722	0.1224132	4.5835021	4.1036423
298.0	4.2438846	0.16744361	4.5720741	3.9156951
299.0	4.2293969	0.22970009	4.6796091	3.7791848
300.0	4.198778	0.22582808	4.6414011	3.756155
301.0	4.1227951	0.14705351	4.41102	3.8345702
302.0	4.0395261	0.17412094	4.3808031	3.6982491
303.0	3.9981282	0.19447707	4.3793033	3.6169531
304.0	3.9596481	0.22270354	4.3961471	3.5231492
305.0	3.9243966	0.16088341	4.239728	3.6090651
306.0	3.9665087	0.16512176	4.2901474	3.64287
307.0	3.9913972	0.10735182	4.2018067	3.7809876
308.0	3.9642138	0.12683863	4.2128175	3.7156101
309.0	3.9891935	0.22555785	4.4312869	3.5471002
310.0	3.8598754	0.11010029	4.0756719	3.6440788
311.0	3.7809512	0.10724748	3.9911563	3.5707462
312.0	3.758119	0.1954446	4.1411904	3.3750476
313.0	3.6487085	0.14451413	3.9319562	3.3654608
314.0	3.6767207	0.11923628	3.9104238	3.4430176
315.0	3.5980885	0.23048573	4.0498406	3.1463365
316.0	3.6941565	0.146285	3.9808751	3.4074379
317.0	3.6964391	0.18985073	4.0685466	3.3243317
318.0	3.6314039	0.15664143	3.9384211	3.3243867
319.0	3.5905381	0.084813111	3.7567718	3.4243044
320.0	3.7556744	0.27610374	4.2968377	3.2145111
321.0	3.5313352	0.13790806	3.801635	3.2610354
322.0	3.4498894	0.10639162	3.658417	3.2413618
323.0	3.3684427	0.23003115	3.8193037	2.9175816
324.0	3.2927158	0.071001217	3.4318782	3.1535534
325.0	3.3530288	0.25475783	3.8523542	2.8537035
326.0	3.2211815	0.098737891	3.4147077	3.0276552
327.0	3.1709313	0.081961131	3.3315751	3.0102875
328.0	3.3746696	0.32834161	4.0182191	2.73112
329.0	3.1544532	0.14224493	3.4332533	2.8756532
330.0	3.394082	0.37022858	4.11973	2.668434
331.0	3.2585493	0.21503171	3.6800114	2.8370871
332.0	3.6113046	0.50098757	4.5932402	2.629369
333.0	3.4897893	0.4221566	4.3172162	2.6623623
334.0	3.6160801	0.26052159	4.1267024	3.1054578
335.0	3.8782539	0.23169425	4.3323747	3.4241332
336.0	4.0956344	0.31779772	4.7185179	3.4727508
337.0	4.3720181	0.34654187	5.0512402	3.6927961
338.0	4.3363786	0.44281645	5.2042988	3.4684584
339.0	4.5778163	0.21413835	4.9975274	4.1581051
340.0	4.5088769	0.46397494	5.4182677	3.599486
341.0	4.826279	0.20550671	5.2290721	4.4234858
342.0	4.7187243	0.25338778	5.2153644	4.2220843
343.0	4.8214008	0.17771483	5.1697218	4.4730797
344.0	4.5895313	0.37955684	5.3334627	3.8455999
345.0	4.761134	0.14731548	5.0498724	4.4723957
346.0	4.7331123	0.090763494	4.9110088	4.5552159
347.0	4.6623856	0.18494355	5.024875	4.2998963
348.0	4.4412908	0.41799527	5.2605615	3.6220201
349.0	4.6469447	0.082813784	4.8092597	4.4846297
350.0	4.5703081	0.11690819	4.7994482	4.3411681
351.0	4.6274011	0.10317035	4.829615	4.4251872
352.0	4.4455217	0.41897304	5.2667089	3.6243346
353.0	4.5792604	0.10495722	4.7849766	4.3735443
354.0	4.3189968	0.43413677	5.1699048	3.4680887
355.0	4.524757	0.13498496	4.7893275	4.2601865
356.0	4.4979108	0.2126204	4.9146468	4.0811748
357.0	4.4997343	0.13533783	4.7649965	4.2344722
358.0	4.4953428	0.12314407	4.7367052	4.2539805
359.0	4.2260204	0.52353926	5.2521573	3.1998834
360.0	4.4816778	0.11989985	4.7166815	4.246674
361.0	4.3173144	0.32330528	4.9509927	3.683636
362.0	4.4436211	0.14990036	4.7374258	4.1498164
363.0	4.5138973	0.089796983	4.6898994	4.3378952
364.0	4.2974484	0.35788884	4.9989106	3.5959863
365.0	4.4543788	0.086061866	4.6230601	4.2856976
366.0	4.2627593	0.38689505	5.0210736	3.504445
367.0	4.3895038	0.092739045	4.5712724	4.2077353
368.0	4.3911652	0.10276377	4.5925822	4.1897482
369.0	4.3540147	0.091527279	4.5334081	4.1746212
370.0	4.3211993	0.10653575	4.5300094	4.1123892
371.0	4.2629058	0.17679821	4.6094303	3.9163813
372.0	4.2664932	0.082113598	4.4274359	4.1055506
373.0	4.1930524	0.21520882	4.6148617	3.7712431
374.0	4.2404713	0.14895575	4.5324246	3.9485181
375.0	4.2071325	0.18631668	4.5723132	3.8419518
376.0	4.1870083	0.15582469	4.4924247	3.8815919
377.0	4.1805363	0.13476454	4.4446748	3.9163978
378.0	4.1625487	0.11852398	4.3948557	3.9302417
379.0	4.1408488	0.13302432	4.4015765	3.8801212
380.0	4.1617951	0.16917558	4.4933792	3.830211
381.0	4.1526927	0.21856538	4.5810809	3.7243046
382.0	4.1308605	0.31762035	4.7533964	3.5083246
383.0	4.0777386	0.2061353	4.4817638	3.6737134
384.0	4.0294884	0.24125345	4.5023451	3.5566316
385.0	4.1067988	0.33785077	4.7689863	3.4446113
