Age [ka BP] (Catunda et al., 2021)	SST [°C] (Naafs et al., 2012, original ...)	Age [ka BP] (Catunda et al., 2021)	SST [°C] (linearly interpolated to matc...)	SubT [°C]	delta T [°C] (SST-Sub-ST, Calculated)
658.12	13.71	862.25	17.22	8.58	8.64
658.55	13.71	862.25	17.22	7.56	9.66
658.99	13.95	863.70	17.59	6.40	11.19
659.43	14.81	865.14	16.32	6.11	10.21
659.86	15.44	865.14	16.32	6.79	9.53
660.30	15.38	866.19	16.05	5.26	10.80
660.74	13.70	867.48	12.26	5.80	6.46
661.17	14.78	868.75	13.47	6.05	7.42
661.61	14.85	878.92	13.50	6.16	7.34
662.05	15.57	880.19	12.42	7.77	4.65
662.48	14.00	881.46	12.82	5.82	7.00
662.92	12.61	882.99	13.40	6.59	6.80
663.35	13.48	886.54	14.27	6.62	7.65
663.79	13.91	889.09	11.36	6.30	5.06
664.23	14.68	890.36	11.88	6.03	5.85
664.66	15.03	891.63	11.19	3.28	7.91
665.10	13.64	892.90	13.45	4.15	9.30
665.54	13.57	894.17	13.07	2.77	10.30
665.97	14.31	895.57	13.33	4.74	8.58
666.41	14.45	895.57	13.33	3.76	9.57
666.85	14.96	896.71	12.85	3.68	9.17
667.28	12.77	897.85	14.02	3.71	10.31
667.72	13.69	899.13	14.55	4.09	10.46
668.16	14.36	900.32	14.56	7.32	7.23
668.59	14.81	900.32	14.56	4.01	10.55
669.03	13.34	901.50	15.07	5.63	9.44
669.46	13.42	902.58	15.74	6.65	9.09
669.90	13.44	903.26	15.36	5.39	9.97
670.34	13.32	904.34	15.25	5.72	9.53
670.77	15.79	905.22	14.92	5.70	9.22
671.21	15.11	906.59	15.98	5.59	10.39
671.65	15.15	907.57	15.48	6.23	9.25
672.08	15.01	908.26	15.66	5.63	10.02
672.52	14.90	909.24	13.87	5.27	8.60
672.96	13.94	910.41	13.86	4.76	9.10
673.39	10.34	911.39	14.96	5.15	9.82
673.83	11.31	912.37	15.65	6.56	9.08
674.27	11.79	913.15	16.13	5.60	10.53
674.70	12.09	914.13	15.89	5.89	10.00
675.14	12.03	924.44	13.62	8.18	5.44
675.57	12.45	926.55	14.79	4.62	10.17
676.01	13.08	927.61	13.57	5.03	8.54
676.88	14.15	929.72	15.20	5.74	9.46
677.32	13.89	929.72	15.20	7.82	7.38
677.76	12.45	930.78	13.94	5.52	8.42
678.19	12.92	931.84	11.13	4.59	6.54
678.63	15.14	932.90	14.63	3.57	11.06
679.07	13.52	933.95	14.00	4.93	9.07
679.50	14.71	935.01	15.86	6.33	9.53
679.94	14.16	936.07	15.75	5.87	9.88
680.38	14.09	937.44	15.43	5.76	9.66
680.81	15.24	938.39	15.44	5.75	9.69
681.25	16.25	939.24	16.64	4.96	11.68
681.68	17.45	940.30	15.92	5.30	10.62
682.12	16.63	941.57	17.25	5.12	12.13
682.56	16.25	942.62	16.63	7.85	8.78
682.99	16.75	943.57	16.16	5.44	10.72
683.43	17.10	944.53	17.73	6.39	11.34
683.87	15.39	945.58	15.96	7.25	8.72
684.30	14.61	946.64	16.07	7.10	8.97
684.74	14.14	947.70	17.63	5.55	12.07
685.18	13.79	948.97	18.18	6.54	11.64
685.61	14.42	949.81	19.01	7.31	11.70
686.05	14.13	950.87	19.61	5.16	14.44
686.49	13.78	951.93	20.24	6.22	14.02
686.92	15.92	952.98	19.07	9.39	9.68
687.36	15.56	952.98	19.07	6.41	12.66
687.79	15.88	954.04	16.43	7.05	9.38
688.23	16.41	954.04	16.43	7.59	8.84
688.67	15.78	955.52	17.88	7.50	10.38
